z,Ex,Ez,By,ne,vx,vz,Pe
0,-8.496527522e+11,-8.134209854e+11,-3866.534429,5.490965973e+25,0,-188775345.3,879749738
2e-09,-8.823064166e+11,-8.134209854e+11,-4902.143523,5.490965973e+25,-18076237.78,-188775345.3,879749738
4e-09,-9.149139361e+11,-9.592206799e+11,-4907.787704,5.44552406e+25,-19867682.16,-189359890.2,872469140.8
6e-09,-9.470966198e+11,-9.953221013e+11,-4911.718067,5.389285164e+25,-21660600.81,-190166051.4,863458676.3
8e-09,-9.787305448e+11,-1.016219776e+12,-4914.279425,5.331078105e+25,-23454422.68,-190989344.4,854132877.3
1e-08,-1.010028559e+12,-1.353605487e+12,-4915.999555,5.27420395e+25,-25248761.47,-191802700.3,845020633.2
1.2e-08,-1.041023797e+12,-1.085880706e+12,-4916.878332,5.211201136e+25,-27043406.56,-193188227,834926469.5
1.4e-08,-1.071419309e+12,-8.505445147e+11,-4916.645918,5.149066182e+25,-28837899.64,-194037663.3,824971352.3
1.6e-08,-1.101438778e+12,-7.537291049e+11,-4915.445873,5.101596159e+25,-30631935.79,-194417176.3,817365816.1
1.8e-08,-1.131252281e+12,-8.797177831e+11,-4913.626517,5.064172944e+25,-32425361.48,-194580497.9,811369956.1
2e-08,-1.160868003e+12,-1.141785131e+12,-4911.098381,5.028040252e+25,-34218044.9,-194931962,805580860.6
2.2e-08,-1.190078215e+12,-2.410049153e+12,-4907.513596,4.984827196e+25,-36009620.78,-195719046.7,798657365.8
2.4e-08,-1.219232032e+12,-1.439676069e+12,-4902.822877,4.909425555e+25,-37799423.98,-198750464.3,786576691
2.6e-08,-1.248221538e+12,-1.014297841e+12,-4897.452589,4.829561973e+25,-39586447.59,-199999554.4,773781134.6
2.8e-08,-1.277081667e+12,-6.091021862e+11,-4891.277265,4.782363354e+25,-41371072.4,-200466091,766219082.2
3e-08,-1.305746981e+12,-6.944417326e+11,-4884.051115,4.754190977e+25,-43153141.99,-200191267.1,761705369.7
3.2e-08,-1.334366486e+12,-6.52222036e+11,-4875.891323,4.7339654e+25,-44932556.44,-200035187,758464875
3.4e-08,-1.362652229e+12,-7.074451269e+11,-4866.703654,4.714031536e+25,-46709022.63,-199776206.3,755271117.9
3.6e-08,-1.390704892e+12,-5.488510373e+11,-4856.474838,4.694957365e+25,-48482188.03,-199586536.5,752215098.8
3.8e-08,-1.418525395e+12,-7.488695429e+11,-4845.25534,4.679106636e+25,-50251712.73,-199091129.5,749675532.1
4e-08,-1.445836285e+12,-7.71885446e+11,-4833.130408,4.663460688e+25,-52017462.08,-198921585.1,747168774.8
4.2e-08,-1.472581989e+12,-7.640960245e+11,-4819.829382,4.644233155e+25,-53778999.22,-198769511.2,744088184.4
4.4e-08,-1.4988822e+12,-4.501014311e+11,-4805.352767,4.62563255e+25,-55535797.22,-198581983.3,741108038.8
4.6e-08,-1.524835034e+12,-6.558114364e+11,-4790.178531,4.61455265e+25,-57287561.58,-197817484.3,739332843.2
4.8e-08,-1.550117771e+12,-5.112301874e+11,-4774.366247,4.606639432e+25,-59034334.45,-197393418.4,738065005.9
5e-08,-1.574973114e+12,-5.296467023e+11,-4757.527442,4.598419958e+25,-60775611.3,-196691743.2,736748100.9
5.2e-08,-1.599512319e+12,-5.500329732e+11,-4739.994017,4.593731873e+25,-62511041.33,-196001209.5,735996986.9
5.4e-08,-1.62388849e+12,-5.685570742e+11,-4722.170188,4.589167512e+25,-64240527.84,-195326815.8,735265695.7
5.6e-08,-1.647742396e+12,-5.790696704e+11,-4703.814573,4.584680865e+25,-65963973.02,-194666886.2,734546855.6
5.8e-08,-1.671493271e+12,-5.839455586e+11,-4684.729776,4.58043512e+25,-67681046.33,-194008486.9,733866612.2
6e-08,-1.694905149e+12,-5.848067895e+11,-4665.28451,4.576681281e+25,-69391595.03,-193342748.4,733265181
6.2e-08,-1.717973606e+12,-5.825539594e+11,-4645.836652,4.573594542e+25,-71095661.78,-192663635.4,732770630.8
6.4e-08,-1.740577015e+12,-5.776472086e+11,-4626.175807,4.57130275e+25,-72793220.72,-191966648.3,732403445.4
6.6e-08,-1.762908952e+12,-5.704108921e+11,-4606.453236,4.569910261e+25,-74484169.74,-191248044.9,732180344
6.8e-08,-1.784724888e+12,-5.611734345e+11,-4586.960527,4.569509937e+25,-76168651.03,-190504625.8,732116204.9
7e-08,-1.805862543e+12,-5.502570498e+11,-4567.495603,4.570184434e+25,-77846754.51,-189733740.8,732224271.4
7.2e-08,-1.82660434e+12,-5.379486446e+11,-4547.713541,4.572005177e+25,-79518284.76,-188933201.2,732515986.5
7.4e-08,-1.846917705e+12,-5.244759036e+11,-4527.767647,4.575033598e+25,-81183145.61,-188101235.8,733001193.1
7.6e-08,-1.866668024e+12,-5.100194142e+11,-4507.499822,4.579322767e+25,-82841330.82,-187236415.6,733688393.7
7.8e-08,-1.885885703e+12,-4.947073919e+11,-4486.322976,4.584918865e+25,-84492542.92,-186337525.3,734584987.5
8e-08,-1.904867505e+12,-4.786404712e+11,-4464.171743,4.591864409e+25,-86136334.17,-185403450.2,735697786.3
8.2e-08,-1.923393045e+12,-4.619203848e+11,-4441.250404,4.600201582e+25,-87772506.14,-184433188.7,737033548.7
8.4e-08,-1.941443449e+12,-4.446769556e+11,-4417.289706,4.609973007e+25,-89400786.94,-183425872.7,738599103.5
8.6e-08,-1.959124817e+12,-4.270906166e+11,-4392.257983,4.621221671e+25,-91020728.16,-182380798.3,740401338.2
8.8e-08,-1.976502973e+12,-4.093986943e+11,-4366.739145,4.63399048e+25,-92632106.75,-181297566.6,742447126.9
9e-08,-1.993283337e+12,-3.918724539e+11,-4340.869268,4.648319378e+25,-94234941.95,-180176237.6,744742869.5
9.2e-08,-2.009642378e+12,-3.747641355e+11,-4314.500359,4.664241797e+25,-95829028.28,-179017376.1,747293922.2
9.4e-08,-2.025541546e+12,-3.582390104e+11,-4288.089418,4.681783764e+25,-97414279.35,-177822035.6,750104455.2
9.6e-08,-2.040870924e+12,-3.423399181e+11,-4261.933672,4.7009651e+25,-98990853.79,-176591631.4,753177644
9.8e-08,-2.055618941e+12,-3.270123359e+11,-4235.628126,4.721802293e+25,-100558765.2,-175327649.9,756516130.4
1e-07,-2.069955108e+12,-3.121945836e+11,-4209.186274,4.74431362e+25,-102117849.8,-174031433.5,760122842.6
1.02e-07,-2.084011643e+12,-2.979587843e+11,-4183.080044,4.768522867e+25,-103668150.6,-172704171.2,764001591.6
1.04e-07,-2.097576474e+12,-2.849849591e+11,-4156.984527,4.79445562e+25,-105209872.5,-171347183.3,768156476.7
1.06e-07,-2.110787359e+12,-2.752820376e+11,-4130.414203,4.822117106e+25,-106742818.1,-169963169.1,772588335.4
1.08e-07,-2.123702763e+12,-2.711811938e+11,-4103.625939,4.851433238e+25,-108266866.4,-168559037.2,777285297.5
1.1e-07,-2.136233778e+12,-2.73004249e+11,-4076.789419,4.88219071e+25,-109782063.3,-167146831.6,782213187.9
1.12e-07,-2.148367482e+12,-2.780185452e+11,-4049.777664,4.914069782e+25,-111288395.4,-165739760.5,787320778.3
1.14e-07,-2.160082068e+12,-2.827649752e+11,-4022.903138,4.946790432e+25,-112785826.6,-164345782.5,792563204.4
1.16e-07,-2.17138238e+12,-2.852955314e+11,-3996.349743,4.9802412e+25,-114274533.5,-162965769.3,797922608.3
1.18e-07,-2.18209185e+12,-2.851737136e+11,-3969.848931,5.014476493e+25,-115754605.4,-161596412.3,803407706.9
1.2e-07,-2.192191402e+12,-2.826317146e+11,-3943.165381,5.049636369e+25,-117226025.8,-160233306.4,809040940.1
1.22e-07,-2.201841642e+12,-2.780938085e+11,-3916.662097,5.085882306e+25,-118688661,-158872326.5,814848179.4
1.24e-07,-2.211094879e+12,-2.720089109e+11,-3890.308436,5.12336893e+25,-120142704.8,-157510030,820854198.7
1.26e-07,-2.219938751e+12,-2.647695475e+11,-3863.674828,5.162234226e+25,-121588040.7,-156143768.1,827081105.6
1.28e-07,-2.228343442e+12,-2.56687047e+11,-3836.842442,5.202598113e+25,-123024624.1,-154771643.1,833548113.3
1.3e-07,-2.236544283e+12,-2.479955376e+11,-3809.658971,5.244565479e+25,-124452328.7,-153392305.6,840272026.6
1.32e-07,-2.24422594e+12,-2.3886759e+11,-3782.067745,5.288230486e+25,-125871110.1,-152004888.3,847267931.9
1.34e-07,-2.251442109e+12,-2.294286947e+11,-3754.042563,5.333679665e+25,-127280832.6,-150608912.5,854549693.3
1.36e-07,-2.25834411e+12,-2.197701637e+11,-3725.636794,5.380994905e+25,-128681314.8,-149204098.9,862130430.4
1.38e-07,-2.264938393e+12,-2.099585579e+11,-3697.182748,5.430257239e+25,-130072517.8,-147790346.7,870023126.5
1.4e-07,-2.270987345e+12,-2.000423119e+11,-3668.71657,5.481548467e+25,-131454569.2,-146367748.9,878240887.1
1.42e-07,-2.276585786e+12,-1.900564743e+11,-3640.026892,5.534950991e+25,-132827393,-144936502.2,886796914.8
1.44e-07,-2.281951403e+12,-1.800261667e+11,-3611.290364,5.590549794e+25,-134190900.6,-143496818.5,895704825.2
1.46e-07,-2.286673544e+12,-1.69969171e+11,-3582.590075,5.648434209e+25,-135545272.7,-142049020.8,904978930.8
1.48e-07,-2.290872203e+12,-1.598979689e+11,-3553.604851,5.708696724e+25,-136890447.6,-140593499.6,914634050.1
1.5e-07,-2.294789325e+12,-1.4982144e+11,-3524.297273,5.771433893e+25,-138226251.7,-139130577.8,924685652.8
1.52e-07,-2.298147954e+12,-1.397462657e+11,-3495.099665,5.836748683e+25,-139552741.9,-137660636.7,935150235.9
1.54e-07,-2.300972497e+12,-1.296779753e+11,-3465.57706,5.904749023e+25,-140870023.2,-136184083.6,946045091.5
1.56e-07,-2.303526935e+12,-1.196219118e+11,-3435.448142,5.975547423e+25,-142177733.8,-134701231.6,957388245.6
1.58e-07,-2.305717908e+12,-1.095837349e+11,-3405.214055,6.049264113e+25,-143475884.1,-133212398,969198961.4
1.6e-07,-2.307450895e+12,-9.95696004e+10,-3374.921232,6.126027139e+25,-144764511.5,-131717950.3,981497754.1
1.62e-07,-2.308866107e+12,-8.958603945e+10,-3343.858261,6.205970593e+25,-146043560,-130218199.3,994306107.6
1.64e-07,-2.310005058e+12,-7.963960956e+10,-3312.463984,6.289237108e+25,-147312624.8,-128713457.8,1007646874
1.66e-07,-2.310733102e+12,-6.973640527e+10,-3281.25778,6.375980195e+25,-148572026.8,-127204115.7,1021544649
1.68e-07,-2.311027084e+12,-5.988157486e+10,-3249.446541,6.466362296e+25,-149821665.1,-125690567.3,1036025458
1.7e-07,-2.310876291e+12,-5.007901145e+10,-3217.19516,6.560555225e+25,-151061335.1,-124173243.1,1051116829
1.72e-07,-2.310326657e+12,-4.033129385e+10,-3184.768525,6.658742821e+25,-152291044.9,-122652595.9,1066848216
1.74e-07,-2.309244112e+12,-3.063985307e+10,-3152.059565,6.761121243e+25,-153510786.2,-121129105.2,1083251048
1.76e-07,-2.307705885e+12,-2.100533438e+10,-3118.944404,6.867898986e+25,-154720486.3,-119603260.9,1100358728
1.78e-07,-2.305712989e+12,-1.142813017e+10,-3085.644465,6.979298292e+25,-155920039.1,-118075541.2,1118206865
1.8e-07,-2.303418685e+12,-1908891690,-3052.27582,7.095556785e+25,-157109514.8,-116546385.8,1136833529
1.82e-07,-2.300615851e+12,7550954506,-3018.461943,7.216927823e+25,-158288921.3,-115016226.5,1156279313
1.84e-07,-2.297411347e+12,1.694901804e+10,-2984.08887,7.343680962e+25,-159458089.7,-113485513.3,1176587404
