z,Ex,Ez,By,ne,vx,vz,Pe
0,-4.352694759e+11,2.217982423e+10,-1669.509683,9.040743642e+24,0,4847803.059,144848682.2
2e-09,-4.309654799e+11,2.217982423e+10,-1871.350669,9.040743642e+24,-234666.9465,4847803.059,144848682.2
4e-09,-4.264964718e+11,-9.045248726e+10,-1838.974143,7.354445223e+24,-7761484.821,8904038.897,117831202.9
6e-09,-4.219164602e+11,-1.253750107e+11,-1805.619009,6.827961978e+24,-16491533.42,12279712.3,109396011.4
8e-09,-4.173334249e+11,-1.475917369e+11,-1771.707846,6.002332798e+24,-25445388.01,15160927.69,96167973.59
1e-08,-4.126322159e+11,-4.859101186e+11,-1737.263786,5.956213732e+24,-32747214.05,21689848.22,95429064.69
1.2e-08,-4.078712233e+11,-2.108759298e+11,-1701.904456,8.750809836e+24,-40501329.01,22535285.05,140203430.5
1.4e-08,-4.030622126e+11,1.045648387e+10,-1665.960158,1.714342079e+25,-49737752.88,19502901.9,274667882.2
1.6e-08,-3.983305526e+11,1.027599836e+11,-1630.066252,3.179002836e+25,-60263574.13,15223127.25,509332406.3
1.8e-08,-3.933661025e+11,-2.434036795e+10,-1594.280193,4.820475289e+25,-68829234.7,15584324.64,772325287.2
2e-08,-3.883666505e+11,-2.819795841e+11,-1558.199737,4.596489486e+25,-74387667.92,20580248.44,736438805.3
2.2e-08,-3.833551584e+11,-1.544407353e+12,-1521.816157,4.574630109e+25,-77457232.17,35535316.48,732936547
2.4e-08,-3.782919175e+11,-4.98750827e+11,-1485.306709,5.548913072e+25,-79878313.51,39583139.02,889033886.9
2.6e-08,-3.730801318e+11,-6.810252805e+10,-1448.564731,7.128587835e+25,-81826913.03,39973134.55,1142125686
2.8e-08,-3.678774523e+11,2.401069937e+11,-1411.711935,8.955646337e+25,-83306039.62,37861598.24,1434852730
3e-08,-3.62663293e+11,1.709750515e+11,-1375.215046,1.06910513e+26,-84245281.66,36652978.5,1712895259
3.2e-08,-3.572771302e+11,1.699307671e+11,-1338.895474,1.218595578e+26,-84668310.63,35670218.12,1952405362
3.4e-08,-3.517752594e+11,1.438534107e+11,-1302.186111,1.34417685e+26,-84661902.65,35029731.38,2153608741
3.6e-08,-3.461842526e+11,1.417752597e+11,-1265.171202,1.49394351e+26,-84340984.43,34280676.45,2393561384
3.8e-08,-3.406139954e+11,1.54866729e+11,-1228.42125,1.70152478e+26,-83814592.31,32770087.11,2726143245
4e-08,-3.347258772e+11,-7.356827086e+10,-1192.727842,2.445249185e+26,-83280189.87,32631908.64,3917721108
4.2e-08,-3.28894642e+11,1.746009812e+11,-1161.901398,5.136219745e+26,-82872128.25,28533887.5,8229131262
4.4e-08,-3.230839472e+11,2.88351628e+11,-1145.282674,1.113157788e+27,-83151645.24,18521936.64,1.783475398e+10
4.6e-08,-3.171452164e+11,2.476607057e+11,-1144.728987,1.418570368e+27,-86067217.99,-2057242.231,2.272800297e+10
4.8e-08,-3.108270972e+11,2.094263697e+11,-1137.753858,7.093298292e+26,-88208141.19,-3478864.94,1.136471678e+10
5e-08,-3.046779118e+11,1.664116077e+11,-1113.166667,4.098389314e+26,-89433164.06,-1541401.257,6566343595
5.2e-08,-2.985225451e+11,1.263225922e+11,-1082.198775,3.330978132e+26,-90438613.22,824932.608,5336815331
5.4e-08,-2.92272634e+11,9.74191272e+10,-1049.29746,2.96770637e+26,-91340407.83,3602524.46,4754789803
