z,Ex,Ez,By,ne,vx,vz,Pe
0,-7.186379152e+11,69504.03701,-2038.397252,9.319705331e-21,0,-576364113.3,1.493181412e-37
2e-09,-7.638561049e+11,69504.03701,-1648.168669,9.319705331e-21,168163659.8,-576364113.3,1.493181412e-37
4e-09,-7.429229839e+11,928778.7189,-1668.899921,9.277834518e-21,167574729.7,-575237751.5,1.486472968e-37
6e-09,-8.431430635e+11,-2736339.931,-1667.57031,9.245213297e-21,166994340.5,-574109553.2,1.481246472e-37
8e-09,-8.040170047e+11,95649.3678,-1640.466498,9.212718633e-21,166389114.4,-572974305,1.476040253e-37
1e-08,-8.526302355e+11,73462.60692,-1689.555135,9.180351497e-21,165819477.3,-571829640.6,1.470854466e-37
1.2e-08,-9.102586433e+11,124799.2619,-1654.360345,9.147948875e-21,165220432.4,-570687131.5,1.465662994e-37
1.4e-08,-8.833911971e+11,133326.7425,-1655.717139,9.115443022e-21,164627030.7,-569532802.3,1.460454982e-37
1.6e-08,-9.846049154e+11,146283.8596,-1659.734792,9.082841327e-21,164050070.8,-568373123.3,1.455231614e-37
1.8e-08,-9.431343242e+11,160233.3076,-1620.537535,9.050049374e-21,163447665.2,-567206222,1.449977764e-37
2e-08,-1.018448238e+12,172147.8022,-1633.501743,9.017044398e-21,162885859,-566028407.8,1.444689784e-37
2.2e-08,-1.036343827e+12,184387.0163,-1589.389691,8.98373159e-21,162297552.8,-564846112.8,1.439352484e-37
2.4e-08,-1.045317028e+12,195722.1029,-1592.101955,8.950077083e-21,161734606.7,-563650030.8,1.433960437e-37
2.6e-08,-1.111757923e+12,207914.66,-1586.492577,8.916038526e-21,161172798.8,-562448019.2,1.428506859e-37
2.8e-08,-1.118559944e+12,218921.7077,-1535.120185,8.881513374e-21,160603822.9,-561237018.5,1.42297532e-37
3e-08,-1.168459665e+12,231247.7558,-1535.048316,8.846521412e-21,160059974.3,-560011625.4,1.41736899e-37
3.2e-08,-1.174080387e+12,241894.718,-1507.507339,8.81104019e-21,159509315.3,-558776777.9,1.411684271e-37
3.4e-08,-1.22240157e+12,254593.2778,-1478.014675,8.774990615e-21,158980863.6,-557531044.1,1.405908493e-37
3.6e-08,-1.228054301e+12,264914.8641,-1464.915749,8.738326056e-21,158449783.3,-556273818.4,1.400034183e-37
3.8e-08,-1.291494643e+12,277878.1269,-1438.624234,8.701004317e-21,157936250.6,-555006379.3,1.394054581e-37
4e-08,-1.275512967e+12,288765.6383,-1450.104217,8.663008311e-21,157415990.9,-553726274.5,1.38796695e-37
4.2e-08,-1.338376387e+12,301714.3906,-1438.013245,8.624293436e-21,156912574.8,-552438309,1.381764143e-37
4.4e-08,-1.353240291e+12,312749.7332,-1409.068196,8.584781318e-21,156398278.5,-551141397.7,1.375433604e-37
4.6e-08,-1.339588384e+12,326076.864,-1438.961064,8.544496374e-21,155898773.2,-549830682.8,1.368979244e-37
4.8e-08,-1.419134931e+12,337538.309,-1430.63245,8.503371023e-21,155404250.3,-548517237.6,1.362390236e-37
5e-08,-1.367879678e+12,351178.6082,-1429.054637,8.4613228e-21,154888633.6,-547194651.3,1.355653368e-37
5.2e-08,-1.44738401e+12,363262.0555,-1450.087008,8.418368944e-21,154403522.5,-545864954,1.348771402e-37
5.4e-08,-1.435024684e+12,376991.1037,-1465.77374,8.374464522e-21,153883992.1,-544530892.3,1.341737138e-37
5.6e-08,-1.440926244e+12,389808.0658,-1510.370941,8.329623507e-21,153376858.2,-543189209.5,1.334552815e-37
5.8e-08,-1.502042897e+12,403238.587,-1506.283835,8.283798724e-21,152857187.5,-541848313,1.327210876e-37
6e-08,-1.452681384e+12,416796.7246,-1518.838239,8.236982563e-21,152321629.6,-540499299.5,1.3197101e-37
6.2e-08,-1.511442953e+12,429560.0941,-1552.109789,8.189242927e-21,151807859.7,-539146060.5,1.312061367e-37
6.4e-08,-1.518810176e+12,443789.8359,-1544.413721,8.140538647e-21,151262004.8,-537791995.9,1.304258081e-37
6.6e-08,-1.506127655e+12,455655.5442,-1578.749721,8.090939493e-21,150724936.1,-536428982.3,1.29631142e-37
6.8e-08,-1.577957558e+12,470385.6689,-1600.958026,8.040497357e-21,150184856.9,-535065077.6,1.288229699e-37
7e-08,-1.524290103e+12,481309.3005,-1629.521246,7.989230183e-21,149616272.8,-533695736.4,1.280015792e-37
7.2e-08,-1.590910706e+12,496286.2476,-1659.254563,7.937200076e-21,149067267,-532323881.5,1.27167965e-37
7.4e-08,-1.591556309e+12,506363.2039,-1645.848266,7.884404599e-21,148483905.2,-530951013.9,1.263220882e-37
7.6e-08,-1.561253169e+12,521346.5302,-1684.879081,7.8309611e-21,147913222.8,-529568482.5,1.25465829e-37
7.8e-08,-1.647835937e+12,530763.7708,-1714.014155,7.776919202e-21,147343799.7,-528187508,1.245999823e-37
8e-08,-1.578287069e+12,545537.0933,-1748.888182,7.722283437e-21,146733955.7,-526802909.3,1.237246208e-37
8.2e-08,-1.647282621e+12,554562.2167,-1788.331345,7.667140729e-21,146149490,-525417241.9,1.228411373e-37
8.4e-08,-1.632531316e+12,569100.115,-1817.435226,7.611496125e-21,145522902.2,-524033465.9,1.219496124e-37
8.6e-08,-1.635155719e+12,577961.0191,-1866.41261,7.555428796e-21,144899716.9,-522646650.2,1.210513148e-37
