z,Ex,Ez,By,ne,vx,vz,Pe
0,7.176166895e+11,69504.03701,2789.396558,1.009276919e-16,0,-753369284.4,1.617039897e-33
2e-09,7.434590396e+11,69504.03701,3128.598543,1.009276919e-16,-106009946.5,-753369284.4,1.617039897e-33
4e-09,7.511100425e+11,928778.7189,3161.595053,1.005009172e-16,-104907439.1,-752245444,1.610202212e-33
6e-09,7.69032446e+11,-2736339.931,3182.849912,1.001448718e-16,-103793992.1,-751117944.5,1.604497737e-33
8e-09,7.890636159e+11,95649.3678,3194.70609,9.978474888e-17,-102678800.6,-749986865.4,1.598727931e-33
1e-08,8.012498458e+11,73462.60692,3233.702766,9.942087773e-17,-101551262.8,-748851399.5,1.592898072e-33
1.2e-08,8.190947503e+11,124799.2619,3195.856149,9.905361106e-17,-100418763.7,-747712849,1.587013811e-33
1.4e-08,8.37611481e+11,133326.7425,3258.612734,9.868344462e-17,-99292987.69,-746567817.2,1.581083091e-33
1.6e-08,8.261302769e+11,146283.8596,3265.008893,9.831077902e-17,-98146397.36,-745420307.7,1.57511233e-33
1.8e-08,8.963470527e+11,160233.3076,3284.64028,9.793577758e-17,-97008156.04,-744269150.4,1.569104145e-33
2e-08,8.655036831e+11,172147.8022,3316.594859,9.75589802e-17,-95839041.13,-743113196.7,1.563067185e-33
2.2e-08,8.999501813e+11,184387.0163,3312.985182,9.718093095e-17,-94685819.72,-741953359,1.557010168e-33
2.4e-08,9.30774261e+11,195722.1029,3400.483317,9.680193126e-17,-93516535.48,-740789249.4,1.550937924e-33
2.6e-08,9.137067103e+11,207914.66,3393.406304,9.642232298e-17,-92318847.32,-739623001.6,1.544855929e-33
2.8e-08,9.731418089e+11,218921.7077,3407.533729,9.604254516e-17,-91136259.81,-738452230.6,1.538771217e-33
3e-08,9.438973783e+11,231247.7558,3457.478499,9.566316398e-17,-89926372.95,-737276677.7,1.532692861e-33
3.2e-08,9.887433504e+11,241894.718,3448.832098,9.5284601e-17,-88723816.53,-736098145.4,1.526627613e-33
3.4e-08,1.002322596e+12,254593.2778,3486.827328,9.490722851e-17,-87505411.18,-734914838.8,1.520581439e-33
3.6e-08,1.025817965e+12,264914.8641,3460.388493,9.453161829e-17,-86279987.42,-733727198.9,1.5145635e-33
3.8e-08,1.040981912e+12,277878.1269,3477.83014,9.415839202e-17,-85063173.27,-732533204.1,1.508583756e-33
4e-08,1.077335677e+12,288765.6383,3506.99791,9.378803995e-17,-83837778.07,-731334313.2,1.502650062e-33
4.2e-08,1.107748354e+12,301714.3906,3485.583468,9.342093288e-17,-82603562.73,-730130851.1,1.496768358e-33
4.4e-08,1.127860492e+12,312749.7332,3492.536147,9.305766404e-17,-81372163.89,-728920436.5,1.490948149e-33
4.6e-08,1.173533354e+12,326076.864,3452.845528,9.269879576e-17,-80143425.22,-727704247.2,1.485198446e-33
4.8e-08,1.171616621e+12,337538.309,3467.067601,9.234485096e-17,-78921415.22,-726480276,1.479527625e-33
5e-08,1.244662279e+12,351178.6082,3433.583904,9.199625641e-17,-77703849.12,-725250867,1.473942524e-33
5.2e-08,1.250466893e+12,363262.0555,3384.536658,9.165343487e-17,-76485452.35,-724013891,1.468449918e-33
5.4e-08,1.26773101e+12,376991.1037,3377.474843,9.131707091e-17,-75291386.14,-722768269.5,1.463060773e-33
5.6e-08,1.312253834e+12,389808.0658,3340.089945,9.098747811e-17,-74104331.44,-721516819.7,1.457780114e-33
5.8e-08,1.328504734e+12,403238.587,3367.485436,9.066493111e-17,-72920826.17,-720257970.7,1.452612342e-33
6e-08,1.349153381e+12,416796.7246,3353.669768,9.034982788e-17,-71734681.01,-718993833.7,1.447563831e-33
6.2e-08,1.375184491e+12,429560.0941,3368.001517,9.004242159e-17,-70555475.94,-717723890,1.442638639e-33
6.4e-08,1.374466329e+12,443789.8359,3438.982009,8.974302445e-17,-69365630.08,-716448842.5,1.437841768e-33
6.6e-08,1.41108556e+12,455655.5442,3462.918261,8.945177641e-17,-68162653.4,-715171243.4,1.43317546e-33
6.8e-08,1.427764861e+12,470385.6689,3536.990964,8.916887441e-17,-66941203.9,-713889682.1,1.428642871e-33
