z,Ex,Ez,By,ne,vx,vz,Pe
0,-7.85872789e+11,-9.232935984e+11,-4596.207755,1.194926198e+11,0,21456851.32,1.914482834e-06
2e-09,-7.805332108e+11,-9.232935984e+11,-6560.127863,1.194926198e+11,9206438.872,21456851.32,1.914482834e-06
4e-09,-7.779938156e+11,-1.065585113e+12,-6539.485399,1.016911913e+11,13617151.4,33591041.51,1.629272506e-06
6e-09,-7.740493101e+11,-1.099275265e+12,-6515.812975,9.466612506e+10,16105793.79,43274157.87,1.516718536e-06
8e-09,-7.726668772e+11,-1.118853271e+12,-6486.447445,9.000923529e+10,17515084.69,51521553.86,1.442106936e-06
1e-08,-7.738442349e+11,-1.449020411e+12,-6457.519451,8.750697347e+10,18141630.71,60428794.19,1.402016282e-06
1.2e-08,-7.731549323e+11,-1.180260229e+12,-6426.853457,8.809043309e+10,18281063.89,66990069.31,1.411364336e-06
1.4e-08,-7.748616858e+11,-9.434739627e+11,-6392.935988,9.025056577e+10,18077406.11,71884965.82,1.445973477e-06
1.6e-08,-7.766128712e+11,-8.458822162e+11,-6361.586707,9.266649337e+10,17597267.32,76004627.9,1.484680904e-06
1.8e-08,-7.75170265e+11,-9.706130615e+11,-6330.68343,9.436696298e+10,16867517.4,80396804.17,1.511925431e-06
2e-08,-7.747178708e+11,-1.234451247e+12,-6301.291877,9.323681995e+10,15910900.37,85560396.57,1.493818543e-06
2.2e-08,-7.712896734e+11,-2.464283386e+12,-6277.57905,9.214784643e+10,14717509.22,94740017.14,1.476371264e-06
2.4e-08,-7.656542113e+11,-1.49751997e+12,-6253.92762,9.384989463e+10,13365412.07,99972778.16,1.503641083e-06
2.6e-08,-7.604391741e+11,-1.05754239e+12,-6231.510775,9.703446243e+10,11886965.04,103470840.6,1.554663484e-06
2.8e-08,-7.525359647e+11,-6.712710494e+11,-6210.416105,1.00860534e+11,10296927.23,105550983.4,1.615963909e-06
3e-08,-7.453255274e+11,-7.51051711e+11,-6182.422734,1.047805479e+11,8602246.637,107789737.8,1.678769456e-06
3.2e-08,-7.39577239e+11,-7.115454249e+11,-6150.240718,1.088413106e+11,6812780.595,109802510.4,1.743830046e-06
3.4e-08,-7.329682859e+11,-7.624787147e+11,-6112.058681,1.132241373e+11,4932828.146,111881733.5,1.814050671e-06
3.6e-08,-7.291354528e+11,-6.094763572e+11,-6062.64468,1.177243574e+11,2972907.105,113402927.1,1.886152147e-06
3.8e-08,-7.271113636e+11,-8.066644136e+11,-6008.077951,1.220461458e+11,939900.6092,115409715.9,1.95539483e-06
4e-08,-7.248542518e+11,-8.274966021e+11,-5947.867708,1.487413717e+11,-1161430.779,117380974.4,2.383099502e-06
4.2e-08,-7.246515096e+11,-8.100107901e+11,-5882.847672,1.723667268e+11,-3383841.125,86334571.87,2.761619421e-06
4.4e-08,-7.233945734e+11,-5.017031916e+11,-5820.426446,2.165710579e+13,-5695640.664,90592612.47,0.0003469850886
