z,Ex,Ez,By,ne,vx,vz,Pe
0,-3.562087123e+11,-8.825508285e+11,883.8798247,4.466724343e+25,0,-119157134.7,715648137.3
2e-09,-3.786487631e+11,-8.825508285e+11,2939.149489,4.466724343e+25,39257197.57,-119157134.7,715648137.3
4e-09,-4.011901956e+11,-1.027992259e+12,2904.928788,4.466412678e+25,40215166.55,-118958479.1,715598203
6e-09,-4.236409189e+11,-1.063806134e+12,2869.861041,4.463677064e+25,41160724.32,-119188691.4,715159909.4
8e-09,-4.46006156e+11,-1.084381983e+12,2833.710313,4.452431622e+25,42093752.32,-119533542.2,713358190.9
1e-08,-4.685294874e+11,-1.421455696e+12,2796.471577,4.438976672e+25,43013996.39,-119950925.9,711202470.2
1.2e-08,-4.91083218e+11,-1.153587047e+12,2758.537693,4.407065577e+25,43921095.26,-121371516.4,706089749.1
1.4e-08,-5.134747391e+11,-9.178289079e+11,2719.884756,4.371139685e+25,44815521.95,-122036261,700333786.7
1.6e-08,-5.359353355e+11,-8.206190058e+11,2680.363024,4.360940558e+25,45696485.39,-122039028.2,698699706.5
1.8e-08,-5.58406364e+11,-9.462919523e+11,2640.227779,4.368379988e+25,46563351.02,-121770278.1,699891634.5
2e-08,-5.806737763e+11,-1.208162775e+12,2599.521075,4.375527188e+25,47415666.14,-121869804.4,701036742.1
2.2e-08,-6.027975306e+11,-2.476309617e+12,2557.978788,4.363681547e+25,48253470.03,-122740527.9,699138861.2
2.4e-08,-6.248764834e+11,-1.50628959e+12,2515.560531,4.276814262e+25,49076864.44,-127273697,685221187.9
2.6e-08,-6.468691621e+11,-1.080236906e+12,2472.375626,4.174165745e+25,49887823.48,-129062132.8,668775082.2
2.8e-08,-6.687084245e+11,-6.746170843e+11,2428.150103,4.135241851e+25,50684397.62,-129706524.4,662538787
3e-08,-6.907035865e+11,-7.595507375e+11,2382.559163,4.132160746e+25,51465620.14,-129269041.2,662045139.5
3.2e-08,-7.127186543e+11,-7.171401913e+11,2335.754713,4.143133237e+25,52230314.32,-129069184.6,663803126.3
3.4e-08,-7.347473656e+11,-7.721309339e+11,2288.108425,4.152827083e+25,52978309.96,-128767424.2,665356251.7
3.6e-08,-7.568227529e+11,-6.133563506e+11,2239.357049,4.162350762e+25,53709238.82,-128629037,666882113.4
3.8e-08,-7.790281511e+11,-8.131148006e+11,2189.537327,4.176791291e+25,54422743.3,-128072965.5,669195741.2
4e-08,-8.011655142e+11,-8.360326864e+11,2139.120116,4.189894761e+25,55118258.91,-128074361.5,671295148.5
4.2e-08,-8.232113195e+11,-8.280821988e+11,2088.291214,4.193337504e+25,55795945.61,-128159538.7,671846736.8
4.4e-08,-8.452607894e+11,-5.139219894e+11,2036.628348,4.195869872e+25,56455702.12,-128245448.2,672252466.8
4.6e-08,-8.671994342e+11,-7.193440366e+11,1984.174208,4.212589217e+25,57097085.34,-127491549.3,674931201.3
4.8e-08,-8.890709679e+11,-5.747037628e+11,1931.204851,4.234653208e+25,57719477.98,-127310048.6,678466242.3
5e-08,-9.108138976e+11,-5.929242237e+11,1877.212115,4.254621223e+25,58322925.78,-126748341.3,681665471
5.2e-08,-9.326459183e+11,-6.131934698e+11,1821.892047,4.280946587e+25,58906777.44,-126249439.1,685883259.4
5.4e-08,-9.544738566e+11,-6.316130487e+11,1765.811716,4.306268318e+25,59470596.12,-125821237.8,689940247.9
5.6e-08,-9.763476605e+11,-6.420316039e+11,1708.798228,4.330389192e+25,60014303.16,-125461261.7,693804838
5.8e-08,-9.981608224e+11,-6.468206931e+11,1650.459696,4.353592221e+25,60537348.15,-125149211.5,697522373.1
6e-08,-1.020138514e+12,-6.47602876e+11,1591.4855,4.376389428e+25,61039468.31,-124870840.9,701174888.3
6.2e-08,-1.042090368e+12,-6.452790653e+11,1532.358734,4.399148254e+25,61520525.58,-124616076.9,704821254.3
6.4e-08,-1.063908816e+12,-6.403094933e+11,1472.623398,4.422145521e+25,61980462.53,-124377076.9,708505822.6
6.6e-08,-1.085660234e+12,-6.330184761e+11,1412.533533,4.445615493e+25,62418925.27,-124147107.1,712266126.6
6.8e-08,-1.107419485e+12,-6.237343906e+11,1352.741802,4.469774276e+25,62836071.14,-123920211.4,716136790.4
7e-08,-1.128920142e+12,-6.127794531e+11,1292.670612,4.494823454e+25,63231846.42,-123691169.8,720150111.2
7.2e-08,-1.150194997e+12,-6.004406159e+11,1232.163265,4.520948654e+25,63606032.4,-123455520.5,724335829.7
7.4e-08,-1.171514807e+12,-5.869456386e+11,1171.419019,4.54832047e+25,63958596.35,-123209547.4,728721278.2
7.6e-08,-1.192640134e+12,-5.724751984e+11,1110.083575,4.57709748e+25,64289351.38,-122950076.6,733331863.3
7.8e-08,-1.213730909e+12,-5.571576194e+11,1047.787963,4.607430895e+25,64598000.55,-122674348.3,738191812.3
8e-08,-1.23488166e+12,-5.410936597e+11,984.8901346,4.639469839e+25,64884208.83,-122379936.2,743325017
8.2e-08,-1.256154521e+12,-5.243852016e+11,921.4459904,4.673365298e+25,65147872.61,-122064644.6,748755668.2
8.4e-08,-1.277416849e+12,-5.071622579e+11,857.0904174,4.709271475e+25,65388622.63,-121726479,754508472
8.6e-08,-1.298898393e+12,-4.896055056e+11,792.1755249,4.747344816e+25,65606170.2,-121363771.9,760608493.8
8.8e-08,-1.320396993e+12,-4.719525824e+11,727.0748658,4.787739572e+25,65800353.98,-120975316.4,767080447.3
9e-08,-1.341758589e+12,-4.544751363e+11,661.5106395,4.830600757e+25,65971027.02,-120560481.9,773947566.1
9.2e-08,-1.363101413e+12,-4.374258508e+11,595.5205167,4.876057589e+25,66117923.71,-120119382.3,781230553.6
9.4e-08,-1.384230648e+12,-4.209704738e+11,529.273569,4.92422042e+25,66240916.72,-119652843.6,788947089.8
9.6e-08,-1.405243404e+12,-4.051523154e+11,462.8583476,4.975184186e+25,66339850.84,-119162169.4,797112385.2
