z,Ex,Ez,By,ne,vx,vz,Pe
0,7.08223699e+10,5.001606683e+10,2539.77041,3.44737256e+25,0,515068.4247,552329976.4
2e-09,7.454031894e+10,5.001606683e+10,4860.188602,3.44737256e+25,-55390866.05,515068.4247,552329976.4
4e-09,7.843580398e+10,-9.569135254e+10,4893.848714,5.164937419e+25,-52033202.43,2404489.219,827514204.9
6e-09,8.245559936e+10,-1.146044448e+11,4925.49079,2.069239295e+26,-48119027.65,7212574.579,3315286848
8e-09,8.639399694e+10,-7.835545597e+11,4955.835704,1.73845487e+26,-43610818.06,-7402548.704,2785311773
1e-08,9.013969185e+10,-2.845732734e+11,4964.342448,2.735978308e+27,-41866277.72,8829451.384,4.383520517e+10
1.2e-08,9.339407041e+10,-9.023362437e+11,4916.671893,3.943209892e+27,-71238924.77,12894261.22,6.317718752e+10
1.4e-08,9.659010049e+10,-2.826233544e+11,4851.539229,2.402626517e+27,-82244463.27,-18187108.98,3.849432066e+10
1.6e-08,1.010740011e+11,-2.112879986e+11,4828.936451,8.291364408e+26,-83313044.19,-22857780.18,1.328423032e+10
1.8e-08,1.056753318e+11,-2.160749281e+11,4834.129755,7.048576575e+26,-84155830.8,-26654980.52,1.129306469e+10
2e-08,1.10181049e+11,-2.690467388e+11,4841.13473,6.793352024e+26,-84866377.11,-29179936.7,1.088414988e+10
2.2e-08,1.146883321e+11,-2.808400729e+11,4847.696491,6.620235525e+26,-85512442.89,-32161004.23,1.060678667e+10
2.4e-08,1.194228227e+11,-3.217949805e+11,4853.907079,6.402215486e+26,-86060156.77,-35156870.2,1.025748006e+10
2.6e-08,1.244317491e+11,-3.178752338e+11,4860.494919,6.158856275e+26,-86508638.14,-38455321.16,9867575615
2.8e-08,1.294896523e+11,-3.393920003e+11,4867.784396,5.90685316e+26,-86842723.54,-41590671.34,9463822113
3e-08,1.34401904e+11,-3.401945492e+11,4875.367398,5.666161143e+26,-87072607.73,-44793243.05,9078190988
3.2e-08,1.39220383e+11,-3.543067316e+11,4882.661091,5.433576762e+26,-87198250.72,-47884544.99,8705549727
3.4e-08,1.441701671e+11,-3.717486262e+11,4889.638225,5.213714197e+26,-87227300.01,-50973791.77,8353291063
3.6e-08,1.493165029e+11,-3.928297185e+11,4896.819443,5.000311857e+26,-87163139.08,-54081401.9,8011382820
3.8e-08,1.544950941e+11,-4.218756603e+11,4904.573872,4.7923689e+26,-87008576.36,-57226977.43,7678221472
4e-08,1.594976114e+11,-4.398916106e+11,4912.614426,4.588520984e+26,-86766215.9,-60452722.24,7351621106
4.2e-08,1.643645079e+11,-4.405404637e+11,4920.359595,4.390950279e+26,-86438304.69,-63682148.05,7035077939
4.4e-08,1.692956858e+11,-4.365052952e+11,4927.67048,4.205931706e+26,-86029393.73,-66815774.37,6738645503
4.6e-08,1.7441627e+11,-4.310670971e+11,4935.013121,4.036452824e+26,-85545760.85,-69836732.91,6467110399
4.8e-08,1.795791707e+11,-4.292217464e+11,4942.811175,3.881680546e+26,-84993139.55,-72747413.21,6219137872
5e-08,1.845930249e+11,-4.299140407e+11,4950.841843,3.739646693e+26,-84376602.02,-75574105.7,5991574551
5.2e-08,1.894307032e+11,-4.31334102e+11,4958.457819,3.60826289e+26,-83700588.19,-78334636.13,5781074491
5.4e-08,1.942984424e+11,-4.322008272e+11,4965.388755,3.486169942e+26,-82969212.14,-81036417.36,5585460024
5.6e-08,1.993230061e+11,-4.321134295e+11,4972.051217,3.372537723e+26,-82186139.06,-83680342.92,5403401137
5.8e-08,2.044276962e+11,-4.311285198e+11,4978.979435,3.266773907e+26,-81354499.24,-86265431.27,5233948822
6e-08,2.093957279e+11,-4.294449773e+11,4986.080595,3.168346863e+26,-80477049.67,-88790941.11,5076251312
6.2e-08,2.141890254e+11,-4.272579229e+11,4992.71766,3.076733112e+26,-79556566.53,-91256935.02,4929469900
6.4e-08,2.189574817e+11,-4.247159445e+11,4998.500425,2.991417395e+26,-78595888.55,-93664212.09,4792779053
6.6e-08,2.238717576e+11,-4.219200289e+11,5003.779338,2.911904257e+26,-77597668.79,-96014048.32,4665384960
6.8e-08,2.288732994e+11,-4.189342929e+11,5009.162357,2.837727364e+26,-76564058.91,-98307921.56,4546540476
7e-08,2.337817279e+11,-4.157971089e+11,5014.69814,2.768454814e+26,-75496876.11,-100547321.2,4435553615
7.2e-08,2.385063015e+11,-4.125295576e+11,5019.769689,2.703691089e+26,-74397933.39,-102733678.5,4331790689
7.4e-08,2.431804739e+11,-4.091413906e+11,5023.877554,2.64307616e+26,-73269248.7,-104868362,4234674866
7.6e-08,2.479651429e+11,-4.056350063e+11,5027.27479,2.586282586e+26,-72112737.09,-106952661.7,4143681528
7.8e-08,2.528541816e+11,-4.02008574e+11,5030.632992,2.533012143e+26,-70929942.89,-108987742.5,4058332870
8e-08,2.576813488e+11,-3.982589758e+11,5034.143408,2.482993169e+26,-69722040.38,-110974619.2,3978193638
8.2e-08,2.623391242e+11,-3.943835708e+11,5037.243338,2.435978533e+26,-68490261.83,-112914187.1,3902867886
8.4e-08,2.669204895e+11,-3.903813629e+11,5039.323576,2.391743419e+26,-67236065.08,-114807280.2,3831995421
8.6e-08,2.715781433e+11,-3.862535613e+11,5040.51762,2.350082631e+26,-65960968.75,-116654695.1,3765247479
8.8e-08,2.763464217e+11,-3.820034447e+11,5041.526694,2.310808059e+26,-64666140.69,-118457178.4,3702322678
9e-08,2.810777718e+11,-3.776366536e+11,5042.691332,2.273747078e+26,-63352422.17,-120215415.6,3642944440
9.2e-08,2.856742243e+11,-3.731611239e+11,5043.528803,2.238741685e+26,-62020642.56,-121930060.8,3586859617
9.4e-08,2.901662173e+11,-3.68586682e+11,5043.339919,2.205647545e+26,-60671933.62,-123601778.4,3533836959
9.6e-08,2.947192659e+11,-3.639244154e+11,5042.122087,2.174332528e+26,-59307535.46,-125231256.8,3483664771
9.8e-08,2.993558059e+11,-3.591859321e+11,5040.567982,2.144675231e+26,-57928437.97,-126819185.9,3436148543
1e-07,3.040041034e+11,-3.543826591e+11,5039.171936,2.11656412e+26,-56535263.17,-128366240.7,3391109577
1.02e-07,3.085225354e+11,-3.49525352e+11,5037.550002,2.089897235e+26,-55128598.71,-129873094.2,3348384517
1.04e-07,3.129620068e+11,-3.44623831e+11,5034.944089,2.064581762e+26,-53709326.58,-131340439.4,3307824658
1.06e-07,3.174042515e+11,-3.396866995e+11,5031.188116,2.040533087e+26,-52278514.8,-132768987.5,3269294434
1.08e-07,3.219427547e+11,-3.347211245e+11,5026.945619,2.017673701e+26,-50837048.84,-134159440.9,3232669658
1.1e-07,3.264811114e+11,-3.29732891e+11,5022.829873,1.995932541e+26,-49385432.12,-135512476.3,3197836481
1.12e-07,3.309541329e+11,-3.247265336e+11,5018.608584,1.975244788e+26,-47924094.57,-136828753.3,3164691046
1.14e-07,3.353266091e+11,-3.197054593e+11,5013.47755,1.955551548e+26,-46453715.75,-138108931.6,3133138997
1.16e-07,3.397109711e+11,-3.146721053e+11,5007.124985,1.936799115e+26,-44975250.14,-139353664.9,3103094287
1.18e-07,3.441356872e+11,-3.096282387e+11,5000.127315,1.918938086e+26,-43489496.86,-140563579.4,3074477764
1.2e-07,3.485952996e+11,-3.045750586e+11,4993.217588,1.901922825e+26,-41996925.76,-141739263.9,3047216310
1.22e-07,3.529965693e+11,-2.995134399e+11,4986.304108,1.885711312e+26,-40497823.54,-142881284.1,3021242602
1.24e-07,3.573421264e+11,-2.944442242e+11,4978.599311,1.870264959e+26,-38992747.76,-143990197.6,2996494817
1.26e-07,3.616649136e+11,-2.893682084e+11,4969.628242,1.855548096e+26,-37482503.27,-145066549.1,2972915803
1.28e-07,3.66016886e+11,-2.842862795e+11,4959.865314,1.841527346e+26,-35967878.38,-146110853.3,2950452084
1.3e-07,3.703835114e+11,-2.79199489e+11,4950.115972,1.828171274e+26,-34449280.29,-147123591.6,2929053298
1.32e-07,3.747272096e+11,-2.741089779e+11,4940.465472,1.815450361e+26,-32926950.05,-148105228.7,2908672148
