z,Ex,Ez,By,ne,vx,vz,Pe
0,7.296623717e+11,-5.354884077e+10,3112.312418,3.323561177e+26,0,-2753961.61,5324932059
2e-09,7.358669533e+11,-5.354884077e+10,3795.396828,3.323561177e+26,-73884706.46,-2753961.61,5324932059
4e-09,7.419981144e+11,-1.103112799e+11,3804.673277,3.508986497e+26,-71384941.9,-4070945.865,5622016175
6e-09,7.480666759e+11,-1.663818649e+11,3813.853387,3.385977459e+26,-69542522.26,-6958036.224,5424933967
8e-09,7.540775526e+11,-1.45037637e+11,3823.564453,3.058665344e+26,-68312720.42,-11488209.39,4900522146
1e-08,7.600251884e+11,-5.288303934e+10,3833.962419,2.753615419e+26,-67491542.24,-14998418.65,4411778283
1.2e-08,7.659003744e+11,-4.004671966e+10,3844.589099,2.715097326e+26,-66950886.41,-16255488.29,4350065495
1.4e-08,7.71701292e+11,-4.824344081e+10,3854.742687,2.897297717e+26,-66720296.54,-17145855.33,4641982704
1.6e-08,7.774333209e+11,-4.043835821e+10,3864.002149,3.141323281e+26,-66823394.8,-18273634.8,5032954761
1.8e-08,7.831036516e+11,-3.570087301e+10,3872.208285,3.406854853e+26,-67245632.23,-19539468.23,5458383241
2e-08,7.887195119e+11,-3.626742093e+10,3879.292862,3.661332445e+26,-67951697.27,-21130432.45,5866101293
2.2e-08,7.942865166e+11,-3.979311838e+10,3885.320524,3.840821477e+26,-68856257.22,-23215220.38,6153674426
2.4e-08,7.998067477e+11,-4.480182149e+10,3890.522696,3.900546948e+26,-69825485.15,-25797075.15,6249365179
2.6e-08,8.052782346e+11,-5.011741893e+10,3895.20994,3.850566289e+26,-70724303.06,-28706631.98,6169287336
2.8e-08,8.106972564e+11,-5.482463347e+10,3899.631374,3.743917626e+26,-71472439.05,-31705963.31,5998417340
3e-08,8.160600423e+11,-5.887341064e+10,3903.899022,3.632805933e+26,-72055943.31,-34619652.43,5820396782
3.2e-08,8.213638123e+11,-6.244686661e+10,3908.015956,3.540193592e+26,-72495781.89,-37384745.19,5672015453
3.4e-08,8.266054657e+11,-6.564124099e+10,3911.950356,3.463803059e+26,-72815953.32,-40012329.69,5549624326
3.6e-08,8.317818996e+11,-6.910218611e+10,3915.684772,3.393046097e+26,-73031714.81,-42534940.18,5436259174
3.8e-08,8.368889116e+11,-7.319440698e+10,3919.226884,3.319873882e+26,-73150824.74,-44983530.83,5319024361
4e-08,8.419226551e+11,-7.672805824e+10,3922.599313,3.24121428e+26,-73177505.46,-47378601.09,5192997786
4.2e-08,8.468785931e+11,-7.793722108e+10,3925.827173,3.157840985e+26,-73115258.64,-49722198.16,5059419040
4.4e-08,8.517531491e+11,-7.722818883e+10,3928.929037,3.072550265e+26,-72968264.57,-52000719.18,4922768242
4.6e-08,8.565422074e+11,-7.598641082e+10,3931.913886,2.988244971e+26,-72741691.86,-54204776.32,4787696269
4.8e-08,8.612429242e+11,-7.573745618e+10,3934.782223,2.90680776e+26,-72441193.77,-56335486.24,4657219473
5e-08,8.658517654e+11,-7.675243887e+10,3937.529356,2.829074088e+26,-72072391.21,-58403572.88,4532676399
5.2e-08,8.703666392e+11,-7.78885043e+10,3940.147855,2.755294597e+26,-71640550.93,-60420100.3,4414468623
5.4e-08,8.74784484e+11,-7.835392927e+10,3942.6287,2.685665601e+26,-71150543.37,-62388122.63,4302910673
5.6e-08,8.791038234e+11,-7.795554746e+10,3944.96142,2.620460697e+26,-70606935.1,-64305872.43,4198440899
5.8e-08,8.833219557e+11,-7.678497769e+10,3947.134208,2.559876931e+26,-70014015.81,-66170748.25,4101375005
6e-08,8.874378669e+11,-7.501482061e+10,3949.134466,2.503951878e+26,-69375770.46,-67980955.69,4011773192
6.2e-08,8.914491337e+11,-7.280536568e+10,3950.949291,2.452573743e+26,-68695858.53,-69735806.66,3929456345
6.4e-08,8.953550919e+11,-7.027960448e+10,3952.566062,2.405524426e+26,-67977604.26,-71435494.36,3854075027
6.6e-08,8.991535266e+11,-6.752385504e+10,3953.972588,2.362523242e+26,-67224009.12,-73080783.7,3785179536
6.8e-08,9.02844004e+11,-6.459597644e+10,3955.157527,2.323260603e+26,-66437769.42,-74672756.63,3722273852
7e-08,9.064245011e+11,-6.153363488e+10,3956.110233,2.287421134e+26,-65621305.28,-76212637.39,3664852692
7.2e-08,9.098947197e+11,-5.83604903e+10,3956.821003,2.254698517e+26,-64776786.22,-77701682.67,3612425281
7.4e-08,9.132527994e+11,-5.509066433e+10,3957.280888,2.224804521e+26,-63906161.83,-79141115.44,3564529818
7.6e-08,9.164985265e+11,-5.173160365e+10,3957.481804,2.19747409e+26,-63011185.89,-80532086.94,3520741640
7.8e-08,9.196302083e+11,-4.828641227e+10,3957.416351,2.172467798e+26,-62093443.47,-81875655.36,3480677143
8e-08,9.226476515e+11,-4.475647667e+10,3957.077792,2.149572495e+26,-61154370.62,-83172776.55,3443994825
8.2e-08,9.255493417e+11,-4.114283951e+10,3956.460075,2.128600658e+26,-60195276.66,-84424306.74,3410394237
8.4e-08,9.283350995e+11,-3.744726951e+10,3955.557571,2.109388847e+26,-59217358.97,-85631010.95,3379613523
8.6e-08,9.310035617e+11,-3.367288217e+10,3954.365261,2.091795637e+26,-58221720.63,-86793575.57,3351426093
8.8e-08,9.335545707e+11,-2.982393049e+10,3952.87842,2.075699244e+26,-57209380.68,-87912622.94,3325636828
