z,Ex,Ez,By,ne,vx,vz,Pe
0,8.241784111e+11,69495.21968,2748.2001,1.019685392e+17,0,8788595.832,1.633716109
2e-09,8.230302289e+11,69495.21968,2745.328936,1.019685392e+17,-31094911.51,8788595.832,1.633716109
4e-09,8.218676574e+11,82445.39894,2741.450764,8.807817605e+16,-51854360.24,12759884.61,1.411167956
6e-09,8.206905624e+11,95070.79565,2737.524517,8.115534528e+16,-67562228.65,16397145.51,1.300251979
8e-09,8.194992222e+11,107048.8722,2733.550212,7.772830927e+16,-80220524.07,19759086.96,1.245344809
1e-08,8.182932967e+11,118752.03,2729.527968,7.65128553e+16,-90790357.46,22875087.62,1.22587109
1.2e-08,8.170732718e+11,130261.8566,2725.45781,7.695656331e+16,-99793423.42,25761330.82,1.232980076
1.4e-08,8.158386e+11,141644.5821,2721.339853,7.882711613e+16,-107530219.4,28424515.71,1.262949636
1.6e-08,8.145899766e+11,152936.5587,2717.174128,8.206206991e+16,-114173989.2,30863209.08,1.314779309
1.8e-08,8.133266446e+11,164161.8398,2712.960744,8.670371135e+16,-119815524.1,33068234.45,1.389146604
2e-08,8.12049511e+11,175336.4848,2708.699745,9.286291478e+16,-124485670.9,35022457.84,1.487827922
2.2e-08,8.107576066e+11,186471.6978,2704.391231,1.00686298e+17,-128166863.7,36700170.64,1.613172341
2.4e-08,8.094520532e+11,197575.524,2700.035257,1.103073351e+17,-130799554,38066351.95,1.767318348
2.6e-08,8.081316665e+11,208653.8896,2695.631914,1.21760992e+17,-132287924.1,39076394.06,1.950826163
2.8e-08,8.067977855e+11,219711.2607,2691.181273,1.348414843e+17,-132509761.3,39677367.96,2.160398755
3e-08,8.054490085e+11,230751.0839,2686.683409,1.488592321e+17,-131336711.8,39811812.8,2.384987834
3.2e-08,8.040868942e+11,241776.1003,2682.138412,1.623310688e+17,-128671449.9,39427155.51,2.600830453
3.4e-08,8.027098209e+11,252788.5705,2677.546344,1.731950579e+17,-124503725.1,38494766.51,2.774890748
3.6e-08,8.013195694e+11,263790.4246,2672.907311,1.791385351e+17,-118972241.1,37034786.39,2.870115751
3.8e-08,7.999142963e+11,274783.3412,2668.221359,1.784371282e+17,-112396982.1,35134390.4,2.858877975
4e-08,7.984960052e+11,285768.7621,2663.488617,1.708889413e+17,-105240263.1,32943734.81,2.737942687
4.2e-08,7.970626309e+11,296747.8719,2658.709109,1.581109453e+17,-97992318.36,30643014.18,2.533216622
4.4e-08,7.956163994e+11,307721.5931,2653.882991,1.428337432e+17,-91040337.39,28396052.42,2.28844886
4.6e-08,7.941550253e+11,318690.6194,2649.010263,1.276819644e+17,-84598259.14,26316858.66,2.0456906
4.8e-08,7.926809539e+11,329655.4766,2644.091107,1.143159136e+17,-78721227.85,24462210.53,1.831542857
5e-08,7.911916838e+11,340616.5835,2639.1255,1.033208306e+17,-73366973.15,22843493.07,1.655382205
5.2e-08,7.896898742e+11,351574.2934,2634.113653,9.457425921e+16,-68455645.87,21444614.9,1.515246683
5.4e-08,7.88172815e+11,362528.9171,2629.055514,8.766514393e+16,-63905954.9,20237466.57,1.404550452
5.6e-08,7.866433697e+11,373480.7333,2623.951328,8.215535785e+16,-59649535.98,19192030.84,1.316273947
5.8e-08,7.850986312e+11,384429.9938,2618.801012,7.768392899e+16,-55633184.29,18281453.74,1.244633759
6e-08,7.835416537e+11,395376.9255,2613.604845,7.398327626e+16,-51816520.56,17483665.6,1.185342765
6.2e-08,7.819693489e+11,406321.7331,2608.362715,7.08630603e+16,-48168845.33,16781213.44,1.135351394
6.4e-08,7.803849431e+11,417264.6008,2603.074932,6.818886669e+16,-44666484.75,16160449.37,1.092506089
6.6e-08,7.787851884e+11,428205.6947,2597.741354,6.58647568e+16,-41290837.04,15610654.78,1.055269743
6.8e-08,7.771734586e+11,439145.1645,2592.362326,6.382094679e+16,-38027008.51,15123309.77,1.022524297
7e-08,7.755463741e+11,450083.1451,2586.937675,6.200557481e+16,-34862862.23,14691540.67,0.9934388313
7.2e-08,7.739074249e+11,461019.7586,2581.46778,6.037927635e+16,-31788356.37,14309717.6,0.9673826575
7.4e-08,7.722531341e+11,471955.1156,2575.952436,5.891158639e+16,-28795066.54,13973163.98,0.9438676718
7.6e-08,7.705870702e+11,482889.3163,2570.392057,5.757851344e+16,-25875844.96,13677945.32,0.9225094885
7.8e-08,7.689057006e+11,493822.4519,2564.786409,5.636087055e+16,-23024560.3,13420713.78,0.9030006987
8e-08,7.672126264e+11,504754.6053,2559.135936,5.52431026e+16,-20235909.44,13198591.93,0.8850920817
8.2e-08,7.655043096e+11,515685.8522,2553.440378,5.421244537e+16,-17505263.81,13009084.44,0.8685791324
8.4e-08,7.637843294e+11,526616.2617,2547.700206,5.325831151e+16,-14828559.69,12850010.04,0.8532922227
8.6e-08,7.620492009e+11,537545.897,2541.915139,5.23718342e+16,-12202200.57,12719448.34,0.8390892903
8.8e-08,7.603024188e+11,548474.8161,2536.085669,5.154552271e+16,-9622991.096,12615697.7,0.8258503208
9e-08,7.585406179e+11,559403.0722,2530.211501,5.077299894e+16,-7088070.63,12537241.44,0.8134731254
9.2e-08,7.567671379e+11,570330.7143,2524.29314,5.004879331e+16,-4594873.101,12482720.61,0.801870072
9.4e-08,7.549788078e+11,581257.7874,2518.330285,4.936818468e+16,-2141078.866,12450911.64,0.7909655196
9.6e-08,7.531787339e+11,592184.3331,2512.323447,4.872708044e+16,275409.1919,12440708.02,0.7806938972
9.8e-08,7.513640215e+11,603110.3898,2506.272326,4.812193179e+16,2656502.788,12451104.93,0.7709983469
1e-07,7.49537458e+11,614035.993,2500.17743,4.754955772e+16,5003941.314,12481186.14,0.7618279034
1.02e-07,7.476965133e+11,624961.1757,2494.038471,4.70071806e+16,7319322.201,12530113.53,0.7531380639
1.04e-07,7.458435651e+11,635885.9683,2487.85594,4.649234917e+16,9604106.496,12597118.02,0.744889555
1.06e-07,7.43976541e+11,646810.3994,2481.629578,4.600288384e+16,11859645.01,12681491.66,0.7370474558
1.08e-07,7.420973142e+11,657734.4953,2475.359843,4.553683886e+16,14087178.48,12782580.85,0.7295805922
1.1e-07,7.402043659e+11,668658.2806,2469.046517,4.509247137e+16,16287861.08,12899780.61,0.72246104
1.12e-07,7.382989684e+11,679581.7785,2462.690015,4.466821469e+16,18462756.61,13032529.49,0.7156636987
1.14e-07,7.363802522e+11,690505.0104,2456.290174,4.426265615e+16,20612860.22,13180305.25,0.7091659344
1.16e-07,7.344487948e+11,701427.9965,2449.847345,4.387451838e+16,22739091.71,13342621.06,0.7029472818
1.18e-07,7.325044678e+11,712350.756,2443.361442,4.350264275e+16,24842316.08,13519022.07,0.6969891772
1.2e-07,7.305470646e+11,723273.3065,2436.832735,4.314597605e+16,26923334.61,13709082.51,0.6912747468
1.22e-07,7.285772831e+11,734195.665,2430.261229,4.280355828e+16,28982904.52,13912403.11,0.6857886093
1.24e-07,7.265940534e+11,745117.8473,2423.647097,4.247451213e+16,31021728.58,14128608.68,0.6805167088
1.26e-07,7.24598972e+11,756039.8686,2416.990455,4.215803439e+16,33040473.91,14357346.18,0.6754461763
1.28e-07,7.225900407e+11,766961.7431,2410.291359,4.185338786e+16,35039760.64,14598282.76,0.6705652008
1.3e-07,7.20569811e+11,777883.4845,2403.550051,4.155989479e+16,37020179.82,14851104.17,0.6658629234
1.32e-07,7.185353105e+11,788805.1057,2396.766456,4.127693066e+16,38982281.74,15115513.29,0.6613293382
1.34e-07,7.164900797e+11,799726.6191,2389.94096,4.100391898e+16,40926592.71,15391228.77,0.6569552089
1.36e-07,7.144301511e+11,810648.0366,2383.073339,4.074032686e+16,42853603.57,15677983.85,0.6527319976
1.38e-07,7.123600605e+11,821569.3696,2376.164135,4.048566058e+16,44763785.08,15975525.27,0.6486517939
1.4e-07,7.102748546e+11,832490.6289,2369.21297,4.023946215e+16,46657577.15,16283612.26,0.6447072602
1.42e-07,7.081800388e+11,843411.8252,2362.220545,4.000130607e+16,48535402.55,16602015.7,0.6408915792
1.44e-07,7.060697175e+11,854332.9685,2355.186322,3.977079629e+16,50397657.34,16930517.25,0.6371984052
1.46e-07,7.039503029e+11,865254.0689,2348.111166,3.954756375e+16,52244722.51,17268908.66,0.6336218257
