z,Ex,Ez,By,ne,vx,vz,Pe
0,7.196559885e+11,69504.03701,2695.371742,1.671001788e-25,0,-753409628.6,2.677240019e-42
2e-09,7.409303907e+11,69504.03701,3057.59801,1.671001788e-25,-105789133.1,-753409628.6,2.677240019e-42
4e-09,7.867049703e+11,928778.7189,3011.73867,1.661333323e-25,-104714859.3,-752129518.7,2.661749431e-42
6e-09,7.822970998e+11,-2736339.931,3036.932146,1.653274536e-25,-103654651.1,-750841705.1,2.648837832e-42
8e-09,8.393986656e+11,95649.3678,3059.59347,1.64540981e-25,-102587196.5,-749549461,2.636237151e-42
1e-08,8.429621019e+11,73462.60692,3008.756314,1.637737413e-25,-101511223.4,-748252845.2,2.623944615e-42
1.2e-08,8.834255882e+11,124799.2619,3076.16869,1.630262418e-25,-100451527.7,-746948124.5,2.611968354e-42
1.4e-08,9.121391598e+11,133326.7425,3016.863671,1.622985072e-25,-99369139.46,-745640873.7,2.600308759e-42
1.6e-08,9.24203146e+11,146283.8596,3044.514202,1.615906683e-25,-98306826.74,-744325209.4,2.58896793e-42
1.8e-08,9.640460022e+11,160233.3076,3039.563357,1.609030148e-25,-97235027.92,-743005198.9,2.577950507e-42
2e-08,9.760698087e+11,172147.8022,3005.016191,1.602353195e-25,-96166688.7,-741679619.7,2.567252848e-42
2.2e-08,1.012344517e+12,184387.0163,3057.964529,1.595878712e-25,-95106989.22,-740346967.5,2.556879583e-42
2.4e-08,1.040217216e+12,195722.1029,2992.163954,1.58960524e-25,-94030943.28,-739011091.7,2.546828373e-42
2.6e-08,1.055022918e+12,207914.66,3019.234965,1.583534055e-25,-92976405.39,-737666795,2.537101262e-42
2.8e-08,1.087928081e+12,218921.7077,3000.794034,1.577666562e-25,-91912218.13,-736318078.5,2.527700502e-42
3e-08,1.097213163e+12,231247.7558,2969.280308,1.571999715e-25,-90858206.02,-734963416.3,2.518621212e-42
3.2e-08,1.137595556e+12,241894.718,3009.829973,1.566534329e-25,-89810613.52,-733602204.2,2.509864698e-42
3.4e-08,1.156993212e+12,254593.2778,2944.334929,1.56126791e-25,-88750586.22,-732237248.2,2.501426966e-42
3.6e-08,1.171435143e+12,264914.8641,3003.351413,1.556200958e-25,-87712649.41,-730864185.3,2.493308812e-42
3.8e-08,1.215726248e+12,277878.1269,2970.0986,1.551331155e-25,-86654982.54,-729488368.1,2.485506527e-42
4e-08,1.208446953e+12,288765.6383,2955.59574,1.546654854e-25,-85608942.51,-728106068.5,2.478014268e-42
4.2e-08,1.25188525e+12,301714.3906,2985.941188,1.542172757e-25,-84567775.89,-726718125.8,2.470833158e-42
4.4e-08,1.259820505e+12,312749.7332,2946.868973,1.537880032e-25,-83517276.59,-725326540.4,2.463955453e-42
4.6e-08,1.28974776e+12,326076.864,3011.753326,1.533774746e-25,-82477999.71,-723928420,2.45737806e-42
