z,Ex,Ez,By,ne,vx,vz,Pe
0,8.680091998e+11,69501.69986,2895.35341,5.99952855e+16,0,9182489.081,0.9612304458
2e-09,8.679825416e+11,69501.69986,2895.282928,5.99952855e+16,-32140707.14,9182489.081,0.9612304458
4e-09,8.679406725e+11,82453.54077,2895.143057,5.09339634e+16,-53447570.67,13608173.89,0.8160520604
6e-09,8.678835369e+11,95080.39257,2894.952467,4.591577312e+16,-69536404.49,17729923.94,0.7356517882
8e-09,8.678112304e+11,107059.8502,2894.711005,4.278713947e+16,-82537470.22,21609879.37,0.6855255509
1e-08,8.677236206e+11,118764.3842,2894.41883,4.072702401e+16,-93490438.19,25286343.78,0.6525188624
1.2e-08,8.676208828e+11,130275.6309,2894.075793,3.93503598e+16,-102981066.2,28787454.69,0.63046227
1.4e-08,8.675028036e+11,141659.8621,2893.682053,3.845381506e+16,-111371966.6,32134700.15,0.6160980397
1.6e-08,8.673696434e+11,152953.4709,2893.237465,3.792228192e+16,-118903029.8,35344730.16,0.60758194
1.8e-08,8.672211012e+11,164180.5542,2892.742187,3.76886461e+16,-125740894.2,38430521.04,0.6038386815
2e-08,8.670575301e+11,175357.22,2892.19608,3.771460243e+16,-132005611.6,41402165.07,0.6042545477
2.2e-08,8.668785328e+11,186494.7271,2891.599299,3.798092319e+16,-137786038.8,44267410.34,0.6085214768
2.4e-08,8.666845651e+11,197601.181,2890.951711,3.848246323e+16,-143149191.5,47032023.05,0.616557034
2.6e-08,8.664751222e+11,208682.5707,2890.253469,3.922582427e+16,-148146157.1,49700016.65,0.6284669909
2.8e-08,8.662507747e+11,219743.4187,2889.504447,4.022874129e+16,-152815918.8,52273773.55,0.6445354932
3e-08,8.660108975e+11,230787.2049,2888.704792,4.152081399e+16,-157187846.1,54754072.1,0.66523678
3.2e-08,8.657561898e+11,241816.651,2887.854387,4.314553529e+16,-161283261.7,57140020.27,0.691267685
3.4e-08,8.654858911e+11,252833.9158,2886.953375,4.516381781e+16,-165116323,59428887.52,0.7236041359
3.6e-08,8.652008451e+11,263840.7323,2886.001649,4.765946665e+16,-168694312.5,61615813.84,0.7635888386
3.8e-08,8.649001395e+11,274838.5056,2884.999343,5.074734145e+16,-172017359.2,63693360.57,0.8130620471
4e-08,8.645847799e+11,285828.3838,2883.946362,5.458532012e+16,-175077502.6,65650845.4,0.8745532445
4.2e-08,8.642536838e+11,296811.3096,2882.842831,5.939160152e+16,-177856935.6,67473372.85,0.9515583621
4.4e-08,8.639080376e+11,307788.0572,2881.688671,6.546920671e+16,-180325115.7,69140422.49,1.048932332
4.6e-08,8.635465693e+11,318759.259,2880.483992,7.323921488e+16,-182434311.9,70623785.32,1.173421588
4.8e-08,8.631706655e+11,329725.4233,2879.228734,8.328177338e+16,-184112977.3,71884539.38,1.334321113
5e-08,8.627788454e+11,340686.945,2877.92299,9.637546004e+16,-185256336.1,72868657.33,1.544105102
5.2e-08,8.623727156e+11,351644.1124,2876.566723,1.135025559e+17,-185713981.5,73500823.69,1.81851143
5.4e-08,8.619505662e+11,362597.1139,2875.160006,1.356947149e+17,-185276082.6,73675813.56,2.174069016
5.6e-08,8.615142438e+11,373546.0632,2873.702826,1.63399357e+17,-183664724,73249594.65,2.617946319
5.8e-08,8.610617899e+11,384491.0592,2872.195233,1.957008014e+17,-180547704.2,72040391.01,3.135472513
6e-08,8.605953101e+11,395432.2957,2870.637244,2.289347092e+17,-175607322.5,69857777.74,3.667938417
6.2e-08,8.601125791e+11,406370.2124,2869.02888,2.55881029e+17,-168697188.6,66581822.32,4.099666058
6.4e-08,8.596159788e+11,417305.5884,2867.370191,2.674918084e+17,-160058181.2,62285934.49,4.285691252
6.6e-08,8.591030006e+11,428239.4295,2865.661169,2.579221682e+17,-150426403.6,57318774.63,4.132368713
6.8e-08,8.585763182e+11,439172.6398,2863.901898,2.294777229e+17,-140824083.4,52221589.08,3.676638456
7e-08,8.580331259e+11,450105.7213,2862.092336,1.91897811e+17,-132104658.9,47495214.11,3.074541889
7.2e-08,8.574764008e+11,461038.7418,2860.232607,1.55877947e+17,-124639311.5,43415153.84,2.497440044
7.4e-08,8.569030306e+11,471971.5263,2858.322631,1.274282696e+17,-118364123.6,40026362.29,2.04162596
7.6e-08,8.563163031e+11,482903.861,2856.362576,1.073656503e+17,-113017358.8,37243686.42,1.720187363
7.8e-08,8.557127948e+11,493835.593,2854.352319,9.386586032e+16,-108329457.3,34942003.62,1.503896881
8e-08,8.550961057e+11,504766.6447,2852.292076,8.471863086e+16,-104097776.6,33002929.97,1.357342108
8.2e-08,8.544625028e+11,515696.994,2850.181679,7.825515999e+16,-100189236.3,31332164.5,1.253785888
8.4e-08,8.538158934e+11,526626.651,2848.021394,7.343028946e+16,-96520367.9,29861679.77,1.17648294
8.6e-08,8.531522434e+11,537555.6427,2845.811004,6.963928107e+16,-93038268.62,28544993.68,1.115744289
8.8e-08,8.524757547e+11,548484.0032,2843.550828,6.653731054e+16,-89707930.18,27350795.49,1.066045242
9e-08,8.517821098e+11,559411.7695,2841.240601,6.392214598e+16,-86504888.07,26257612.73,1.024145687
9.2e-08,8.510757826e+11,570338.9789,2838.880693,6.166883287e+16,-83411145.6,25250167.68,0.9880436307
9.4e-08,8.503521996e+11,581265.6674,2836.47079,5.969546696e+16,-80412897.99,24317124.14,0.9564268232
9.6e-08,8.496160739e+11,592191.8698,2834.011316,5.794536942e+16,-77499208.98,23449742.8,0.9283871693
9.8e-08,8.488626144e+11,603117.619,2831.501906,5.637752683e+16,-74661197.89,22641072.9,0.9032675618
1e-07,8.480967294e+11,614042.946,2828.943038,5.496120107e+16,-71891513.89,21885449.09,0.8805755213
1.02e-07,8.473134605e+11,624967.8802,2826.334299,5.36727124e+16,-69183976.14,21178164.1,0.8599316569
1.04e-07,8.465178543e+11,635892.449,2823.676215,5.249341374e+16,-66533322.67,20515245.85,0.8410372094
1.06e-07,8.457048483e+11,646816.6783,2820.968331,5.140835474e+16,-63935022.6,19893299.79,0.8236526475
1.08e-07,8.448795576e+11,657740.5923,2818.211217,5.040536691e+16,-61385141.44,19309393.72,0.8075830109
1.1e-07,8.440368921e+11,668664.2139,2815.404379,4.947441761e+16,-58880230.98,18760971.5,0.7926675588
1.12e-07,8.431819527e+11,679587.5643,2812.548426,4.860714207e+16,-56417252.16,18245786.91,0.7787722728
1.14e-07,8.423097109e+11,690510.6637,2809.642834,4.779649718e+16,-53993504.35,17761852.12,0.7657843096
1.16e-07,8.414251572e+11,701433.5312,2806.68824,4.703650057e+16,-51606579.89,17307396.94,0.7536078215
1.18e-07,8.405234272e+11,712356.1845,2803.684102,4.632203097e+16,-49254314.74,16880836.06,0.7421607566
1.2e-07,8.396092929e+11,723278.6407,2800.631069,4.564867322e+16,-46934762.15,16480742.58,0.731372376
1.22e-07,8.386781678e+11,734200.9156,2797.528599,4.50125964e+16,-44646155.33,16105826.16,0.7211813019
1.24e-07,8.377344861e+11,745123.0245,2794.377339,4.441045707e+16,-42386893.5,15754915.11,0.7115339662
1.26e-07,8.367740632e+11,756044.9818,2791.176759,4.383932156e+16,-40155511.53,15426941.3,0.7023833665
1.28e-07,8.358008677e+11,766966.8011,2787.927488,4.329660301e+16,-37950674.42,15120927.59,0.6936880567
1.3e-07,8.348112476e+11,777888.4954,2784.629028,4.278000996e+16,-35771150.95,14835977.08,0.6854113236
1.32e-07,8.338085728e+11,788810.0773,2781.281968,4.228750406e+16,-33615814.33,14571264.03,0.6775205091
1.34e-07,8.327898587e+11,799731.5587,2777.885865,4.181726491e+16,-31483618.08,14326026.05,0.6699864474
1.36e-07,8.317577417e+11,810652.951,2774.441246,4.136766087e+16,-29373601.2,14099557.37,0.6627829965
1.38e-07,8.307100381e+11,821574.2652,2770.947745,4.093722439e+16,-27284865.42,13891203,0.6558866438
1.4e-07,8.296485191e+11,832495.5119,2767.405802,4.052463134e+16,-25216583.69,13700353.68,0.6492761743
1.42e-07,8.285719302e+11,843416.7013,2763.815153,4.012868332e+16,-23167978.25,13526441.43,0.6429323877
1.44e-07,8.274810547e+11,854337.8434,2760.176129,3.974829269e+16,-21138331.61,13368935.64,0.6368378579
1.46e-07,8.263756832e+11,865258.9477,2756.488591,3.938246965e+16,-19126965.24,13227339.69,0.6309767266
1.48e-07,8.252555033e+11,876180.0235,2752.752734,3.903031119e+16,-17133252.27,13101187.89,0.625334526
1.5e-07,8.241214481e+11,887101.0799,2748.968572,3.869099148e+16,-15156596.72,12990042.76,0.6198980249
1.52e-07,8.229720244e+11,898022.1256,2745.13614,3.836375357e+16,-13196447.37,12893492.71,0.6146550956
1.54e-07,8.218093792e+11,908943.1694,2741.255624,3.804790216e+16,-11252277.69,12811149.81,0.6095945982
1.56e-07,8.206307828e+11,919864.2196,2737.326881,3.774279726e+16,-9323600.09,12742647.97,0.6047062788
1.58e-07,8.194396339e+11,930785.2844,2733.350288,3.744784864e+16,-7409946.978,12687641.14,0.5999806808
1.6e-07,8.18231948e+11,941706.3721,2729.325506,3.716251094e+16,-5510884.737,12645801.82,0.5954090669
1.62e-07,8.170123729e+11,952627.4904,2725.253118,3.68862794e+16,-3625996.208,12616819.62,0.5909833497
1.64e-07,8.157756944e+11,963548.6472,2721.132578,3.6618686e+16,-1754893.802,12600400.02,0.5866960308
1.66e-07,8.145277601e+11,974469.8503,2716.96468,3.635929821e+16,102796.1036,12596263.23,0.5825401802
1.68e-07,8.132622012e+11,985391.1072,2712.748672,3.610771642e+16,1947421.623,12604143.16,0.5785093956
