z,Ex,Ez,By,ne,vx,vz,Pe
0,-8.473536179e+11,3.707033431e+10,-1827.643515,5.023161176e+24,0,-7676444.707,80479914.65
2e-09,-8.552350932e+11,3.707033431e+10,-832.283429,5.023161176e+24,49949914.46,-7676444.707,80479914.65
4e-09,-8.629807317e+11,-1.020803549e+11,-838.5705083,1.860971126e+25,49559629.22,1796567.621,298160445.5
6e-09,-8.706697703e+11,-1.175958408e+11,-843.6989768,2.234514648e+25,-4508178.24,-10849837.5,358008715.7
8e-09,-8.78147275e+11,-6.881839153e+11,-848.2743225,2.342374556e+26,-4805810.465,9493900.825,3752897781
1e-08,-8.854909905e+11,-9.701053824e+10,-854.6386253,3.831174012e+26,-33010317.23,-5218584.286,6138217483
1.2e-08,-8.926037344e+11,-4.523639223e+11,-861.5840164,2.819859761e+26,-32514659.11,-1382343.981,4517913420
1.4e-08,-8.997302461e+11,-1.628419465e+11,-874.6250932,1.52141776e+27,-32182834.3,2891491.483,2.437579986e+10
1.6e-08,-9.070237731e+11,-2.209060063e+11,-878.3682825,2.044654688e+27,16245681.99,7833236.671,3.275897966e+10
1.8e-08,-9.140579363e+11,-2.399398909e+11,-862.0214272,1.318452386e+27,36349313.24,4867353.86,2.112393606e+10
2e-08,-9.210515565e+11,-1.11206934e+11,-846.9065293,6.173107437e+26,33986425.78,-16839830.78,9890408494
2.2e-08,-9.280101567e+11,-1.084286022e+11,-838.925926,1.704114417e+26,32727608.74,-19978965.93,2730292300
2.4e-08,-9.349770732e+11,-1.03550822e+11,-833.582083,1.34127074e+26,31599330.3,-23881919.27,2148952640
2.6e-08,-9.417014608e+11,-8.859466039e+10,-828.1714912,1.221077966e+26,30581317.74,-25504777.61,1956382585
2.8e-08,-9.481631792e+11,-9.499467732e+10,-821.8457696,1.1854384e+26,29602172.52,-26694092.23,1899281705
3e-08,-9.543895622e+11,-8.209853752e+10,-814.1837309,1.172248754e+26,28643026.36,-27878117.1,1878149563
3.2e-08,-9.606179269e+11,-7.867842325e+10,-805.7324113,1.172819764e+26,27698136.95,-28855806.06,1879064422
3.4e-08,-9.665624653e+11,-7.044428337e+10,-796.906504,1.187079174e+26,26757911.24,-29768642.56,1901910515
3.6e-08,-9.722419922e+11,-6.993154775e+10,-787.2383905,1.212802104e+26,25816758.23,-30566007.72,1943123192
3.8e-08,-9.777496586e+11,1.589829013e+10,-776.3320762,1.249056566e+26,24868575.23,-31346752.88,2001209245
4e-08,-9.831485562e+11,-2.80940804e+11,-764.6509753,1.314676529e+26,23909424.38,-31142317.3,2106344016
4.2e-08,-9.883663053e+11,-4.441321976e+10,-752.5093988,1.338660946e+26,22913331.92,-34317785.1,2144771289
4.4e-08,-9.932127209e+11,9.190828969e+10,-739.5082209,1.355650826e+26,21950113.61,-34834026.93,2171992077
4.6e-08,-9.979247561e+11,1.361742587e+11,-725.3608193,1.456347073e+26,20963264.08,-33948884.33,2333325252
4.8e-08,-1.002495536e+12,1.369877509e+11,-710.5261453,1.612545718e+26,19920197.41,-32534552.74,2583583070
5e-08,-1.006936051e+12,1.099705693e+11,-695.3337474,1.808582806e+26,18800181.76,-31036649.81,2897669113
5.2e-08,-1.010963357e+12,7.836862585e+10,-679.2730327,2.029437386e+26,17589842.64,-29779774.05,3251517160
5.4e-08,-1.014835691e+12,5.344344967e+10,-661.945362,2.256292851e+26,16286831.92,-28861917.81,3614979685
5.6e-08,-1.01862288e+12,3.532713675e+10,-643.9887088,2.472572256e+26,14898462.62,-28239045.18,3961497495
5.8e-08,-1.022210295e+12,2.174273723e+10,-626.0238154,2.664638874e+26,13438740.9,-27840725.92,4269222142
6e-08,-1.025606119e+12,1.12005765e+10,-607.6315314,2.820454035e+26,11927430.37,-27608898.8,4518865552
6.2e-08,-1.028868558e+12,3081116229,-588.363347,2.930492227e+26,10389081.13,-27498050.83,4695166172
6.4e-08,-1.032077336e+12,-2830030416,-568.6959001,2.989786149e+26,8850526.643,-27470081.63,4790165509
6.6e-08,-1.034991379e+12,-6630027057,-549.0834045,2.998966017e+26,7337573.36,-27492584.89,4804873279
6.8e-08,-1.037780844e+12,-8444515312,-529.2690941,2.963588731e+26,5872676.176,-27539313.2,4748192618
7e-08,-1.040472889e+12,-8422502875,-509.0412309,2.892075815e+26,4473267.671,-27591013.93,4633616294
7.2e-08,-1.043176852e+12,-6710954192,-488.708468,2.793787456e+26,3151122.234,-27634744.32,4476140983
7.4e-08,-1.045638952e+12,-3433424874,-468.4416288,2.677437845e+26,1912613.063,-27662108.73,4289728354
7.6e-08,-1.047801978e+12,1297156299,-447.6254238,2.550226267e+26,760072.8989,-27667234.97,4085912937
7.8e-08,-1.04983725e+12,7392918029,-425.9401393,2.417612629e+26,-306821.997,-27645243.62,3873442464
8e-08,-1.051738278e+12,1.477207551e+10,-403.9661793,2.283336669e+26,-1290506.402,-27591037.17,3658308659
8.2e-08,-1.053512463e+12,2.333876736e+10,-382.1526112,2.149957201e+26,-2194902.657,-27498603.76,3444611192
8.4e-08,-1.05501899e+12,3.296210309e+10,-359.8869442,2.019201805e+26,-3024599.423,-27360706.88,3235117951
8.6e-08,-1.056478435e+12,4.345769145e+10,-336.8769089,1.892288569e+26,-3783997.717,-27169073.11,3031780530
8.8e-08,-1.05780118e+12,5.458284428e+10,-313.8489308,1.770161051e+26,-4477836.43,-26914927.28,2836110675
9e-08,-1.059036358e+12,6.605947907e+10,-291.1370888,1.653646405e+26,-5111069.978,-26589665.91,2649433631
9.2e-08,-1.060144157e+12,7.762430889e+10,-268.2071891,1.543565628e+26,-5688537.575,-26185264.32,2473064783
9.4e-08,-1.061257812e+12,8.90924045e+10,-244.8218436,1.440823095e+26,-6214628.364,-25693997.15,2308453096
9.6e-08,-1.062315679e+12,1.003915148e+11,-221.6335425,1.346487199e+26,-6693852.173,-25107200.76,2157310328
9.8e-08,-1.063206982e+12,1.115407343e+11,-198.5398889,1.261851854e+26,-7130979.818,-24413359.59,2021709556
1e-07,-1.063967647e+12,1.225616026e+11,-174.8279158,1.188459861e+26,-7530467.948,-23596209.11,1904122620
1.02e-07,-1.064554639e+12,1.333561812e+11,-150.4498166,1.128085944e+26,-7896736.848,-22633870.46,1807392941
1.04e-07,-1.065004991e+12,1.432485044e+11,-125.9731708,1.082714542e+26,-8234482.206,-21499726.84,1734699940
1.06e-07,-1.065239664e+12,1.502085946e+11,-101.3525336,1.05443506e+26,-8548905.487,-20171129.62,1689391215
1.08e-07,-1.065313897e+12,1.518575711e+11,-76.1779235,1.044870994e+26,-8845114.724,-18655460.41,1674067893
1.1e-07,-1.065290988e+12,1.478054475e+11,-50.79290127,1.054125148e+26,-9128245.865,-17011200.63,1688894681
1.12e-07,-1.065340944e+12,1.407195762e+11,-25.85408547,1.079942681e+26,-9403146.749,-15335444.9,1730258930
1.14e-07,-1.065400823e+12,1.339365296e+11,-1.553491831,1.118095289e+26,-9673839.083,-13716106.59,1791386146
1.16e-07,-1.065461971e+12,1.292547024e+11,22.80807349,1.163926498e+26,-9942915.912,-12201233.87,1864815839
1.18e-07,-1.065479135e+12,1.270128297e+11,47.35734389,1.213518341e+26,-10211420.02,-10804984.94,1944270732
1.2e-07,-1.065465969e+12,1.26947425e+11,71.58023704,1.263826652e+26,-10479734.84,-9524323.868,2024873532
1.22e-07,-1.065383962e+12,1.286388568e+11,95.35651075,1.312556279e+26,-10747646.85,-8348215.755,2102947001
1.24e-07,-1.065296798e+12,1.316576589e+11,119.1842451,1.358299563e+26,-11014579.78,-7261587.618,2176235821
1.26e-07,-1.065208139e+12,1.356372329e+11,143.0445333,1.40040002e+26,-11279413.85,-6247925.035,2243688191
1.28e-07,-1.065192391e+12,1.402930876e+11,166.0987582,1.438775534e+26,-11541398.09,-5291751.488,2305172543
1.3e-07,-1.065252495e+12,1.454157353e+11,188.2349667,1.473620799e+26,-11800060.72,-4379628.062,2361000812
1.32e-07,-1.065440582e+12,1.508545448e+11,210.049932,1.505249288e+26,-12054903.18,-3500513.392,2411675237
