z,Ex,Ez,By,ne,vx,vz,Pe
0,8.312881378e+11,69504.03701,5630.31705,0.74649967,0,-862373618.5,1.196024329e-17
2e-09,8.755534882e+11,69504.03701,8511.271447,0.74649967,-37615926.92,-862373618.5,1.196024329e-17
4e-09,8.754734831e+11,928778.7189,8547.464996,0.7437822865,-34613802.44,-861856930.8,1.1916706e-17
6e-09,8.893173578e+11,-2736339.931,8582.51482,0.7413164877,-31608793.34,-861329742.9,1.187719955e-17
8e-09,8.951932675e+11,95649.3678,8545.906075,0.7388825385,-28589322.46,-860792197.6,1.183820338e-17
1e-08,9.392362352e+11,73462.60692,8516.543179,0.7364806484,-25584539.27,-860243334.5,1.179972086e-17
1.2e-08,9.695378558e+11,124799.2619,8581.839632,0.7341115205,-22579135.92,-859683063.4,1.176176325e-17
1.4e-08,1.000772711e+12,133326.7425,8624.829951,0.7317752466,-19555945.9,-859112195.3,1.172433201e-17
1.6e-08,1.006350401e+12,146283.8596,8637.79372,0.7294716437,-16518200.26,-858530590.2,1.168742423e-17
1.8e-08,9.973671723e+11,160233.3076,8610.561089,0.7272007772,-13479901.35,-857938070.2,1.165104093e-17
2e-08,1.050057578e+12,172147.8022,8587.447056,0.7249627384,-10454684.43,-857334550,1.16151836e-17
2.2e-08,1.081654454e+12,184387.0163,8588.357066,0.7227577022,-7423796.217,-856719981.6,1.157985503e-17
2.4e-08,1.110132936e+12,195722.1029,8624.366502,0.7205858977,-4396962.56,-856094397.6,1.154505888e-17
2.6e-08,1.11422124e+12,207914.66,8652.631475,0.7184473153,-1357761.457,-855458000.7,1.151079501e-17
2.8e-08,1.122866174e+12,218921.7077,8600.121785,0.716341832,1684147.776,-854810768.6,1.147706145e-17
3e-08,1.144468135e+12,231247.7558,8584.266092,0.7142693622,4710255.829,-854152727.9,1.144385682e-17
3.2e-08,1.178253106e+12,241894.718,8603.302816,0.7122297551,7734539.069,-853483991.9,1.141117872e-17
3.4e-08,1.227924619e+12,254593.2778,8642.560101,0.7102228186,10766067.94,-852804544,1.137902405e-17
3.6e-08,1.206993491e+12,264914.8641,8668.33127,0.708248319,13815840.39,-852114330,1.134738908e-17
3.8e-08,1.209202369e+12,277878.1269,8654.839347,0.7063060398,16859011.45,-851413207.1,1.131627033e-17
4e-08,1.233885465e+12,288765.6383,8626.275546,0.7043957158,19902557.18,-850701270.8,1.128566357e-17
4.2e-08,1.26734371e+12,301714.3906,8600.12114,0.7025166798,22940635.06,-849978840.4,1.125555809e-17
4.4e-08,1.298949619e+12,312749.7332,8664.842912,0.7006678964,25973212.1,-849246184.5,1.122593732e-17
4.6e-08,1.301209187e+12,326076.864,8700.744014,0.6988486802,29027291.34,-848502508.7,1.119679026e-17
4.8e-08,1.306387089e+12,337538.309,8669.756109,0.6970586131,32085388.63,-847747697.4,1.116811023e-17
5e-08,1.301059616e+12,351178.6082,8622.887764,0.6952966803,35135920.53,-846982386.6,1.113988095e-17
5.2e-08,1.357967318e+12,363262.0555,8598.69057,0.6935613639,38167219.28,-846206916.1,1.111207812e-17
5.4e-08,1.396100747e+12,376991.1037,8654.652376,0.6918508469,41204076.9,-845421561.9,1.108467261e-17
5.6e-08,1.389390975e+12,389808.0658,8707.927461,0.6901634572,44256105.84,-844625433.7,1.105763765e-17
5.8e-08,1.393185599e+12,403238.587,8709.726107,0.6884982962,47316118.89,-843817728.5,1.103095883e-17
6e-08,1.401417373e+12,416796.7246,8620.979094,0.6868542195,50378680.65,-842998863.3,1.100461781e-17
6.2e-08,1.436208976e+12,429560.0941,8584.872056,0.6852283204,53412334.1,-842170937.6,1.097856804e-17
6.4e-08,1.458663681e+12,443789.8359,8661.247403,0.6836171564,56441842.82,-841333703.1,1.095275435e-17
6.6e-08,1.487340302e+12,455655.5442,8737.243806,0.6820189531,59491620.64,-840484735.2,1.092714831e-17
6.8e-08,1.473697021e+12,470385.6689,8747.648275,0.680432506,62568885.87,-839623432.9,1.090173062e-17
7e-08,1.470060087e+12,481309.3005,8638.744804,0.6788554283,65640984.76,-838750665.2,1.087646305e-17
7.2e-08,1.518310371e+12,496286.2476,8583.853257,0.6772836107,68678661.25,-837869325,1.085127976e-17
7.4e-08,1.538004396e+12,506363.2039,8650.075106,0.6757121454,71710558.52,-836979520.6,1.082610211e-17
7.6e-08,1.558289507e+12,521346.5302,8763.084986,0.6741380329,74756861.77,-836078112,1.080088204e-17
7.8e-08,1.570471776e+12,530763.7708,8781.484966,0.6725603269,77841154.63,-835162540.4,1.077560441e-17
8e-08,1.581473705e+12,545537.0933,8665.158108,0.6709763221,80928714.16,-834235043.6,1.075022585e-17
8.2e-08,1.578700119e+12,554562.2167,8588.393739,0.6693796385,83980290.92,-833300270,1.072464416e-17
