z,Ex,Ez,By,ne,vx,vz,Pe
0,-8.593614239e+11,-9.232935984e+11,-4423.957804,3414932.516,0,21583840.65,5.471325084e-11
2e-09,-8.811983098e+11,-9.232935984e+11,-5982.037052,3414932.516,11178967.45,21583840.65,5.471325084e-11
4e-09,-9.037050536e+11,-1.065585113e+12,-5977.38945,2903334.801,18092371.43,31145670.84,4.651655179e-11
6e-09,-9.228079282e+11,-1.099275265e+12,-5972.578116,9525785.198,22495657.4,39664108.48,1.526199047e-10
8e-09,-9.431704487e+11,-1.118853271e+12,-5967.082792,24135953.84,13247758.18,40439083.4,3.867006128e-10
1e-08,-9.609894211e+11,-1.449020411e+12,-5956.319613,59619258.85,-5492059.836,39483614.8,9.552058347e-10
1.2e-08,-9.810255012e+11,-1.180260229e+12,-5949.384908,136827139.8,-20928340.56,37285346.71,2.192212462e-09
1.4e-08,-9.999267487e+11,-9.434739627e+11,-5936.762266,316912228,-28303066.76,36249980.35,5.077493667e-09
1.6e-08,-1.016475706e+12,-8.458822162e+11,-5921.633421,646821922.5,-29584354.11,37035092.92,1.036322971e-08
1.8e-08,-1.035894207e+12,-9.706130615e+11,-5909.984992,1064529718,-28025522.9,40462171.38,1.705564641e-08
2e-08,-1.051502247e+12,-1.234451247e+12,-5896.700912,1362451845,-25833065.27,46293430.51,2.182888511e-08
2.2e-08,-1.069869102e+12,-2.464283386e+12,-5889.070497,1625224854,-24289637.05,58668980.55,2.603897287e-08
2.4e-08,-1.0871668e+12,-1.49751997e+12,-5877.173393,2036794415,-23087839.7,64748744.74,3.26330442e-08
2.6e-08,-1.101852942e+12,-1.05754239e+12,-5863.233311,2609347550,-22152930.99,68303507.82,4.180635675e-08
2.8e-08,-1.116192203e+12,-6.712710494e+11,-5855.029039,3365543629,-21416950.51,69863240.05,5.392195362e-08
3e-08,-1.127527462e+12,-7.51051711e+11,-5841.247833,4332470059,-20873457.17,71803038.7,6.941382295e-08
3.2e-08,-1.140460993e+12,-7.115454249e+11,-5827.534693,5608926775,-20466829.59,73525042.3,8.986491421e-08
3.4e-08,-1.149751686e+12,-7.624787147e+11,-5805.981856,7412899284,-20157968.83,75438820.8,1.187677402e-07
3.6e-08,-1.158673613e+12,-6.094763572e+11,-5778.126243,1.013096861e+10,-19872119.27,76579909.05,1.623160119e-07
3.8e-08,-1.167489147e+12,-8.066644136e+11,-5754.654218,1.458015664e+10,-19609140.56,78502261.14,2.335998629e-07
4e-08,-1.174350233e+12,-8.274966021e+11,-5725.28537,2.28545511e+10,-19356113.1,80363588.03,3.661702775e-07
4.2e-08,-1.182917803e+12,-8.100107901e+11,-5696.674915,4.020618649e+10,-19109882.29,82015670.97,6.441741254e-07
4.4e-08,-1.18838798e+12,-5.017031915e+11,-5663.073179,7.82802412e+10,-18856698.7,82285042.21,1.254187733e-06
4.6e-08,-1.194423081e+12,-7.002101374e+11,-5624.400653,1.619813055e+11,-18641615.98,83384668.52,2.595226628e-06
4.8e-08,-1.200671922e+12,-5.572545549e+11,-5588.802911,3.457253476e+11,-18485165.86,83905765.47,5.539130736e-06
5e-08,-1.208094881e+12,-5.743469404e+11,-5547.150795,7.36068386e+11,-18419003.13,84539768.55,1.179311569e-05
5.2e-08,-1.216582558e+12,-5.942519308e+11,-5506.348011,1.536433125e+12,-18466032.47,85299135.97,2.461637252e-05
5.4e-08,-1.22394198e+12,-6.120267993e+11,-5460.201527,3.119928551e+12,-18644411.66,86167713.23,4.998676624e-05
5.6e-08,-1.234973258e+12,-6.215938774e+11,-5408.744214,6.151317028e+12,-18949225.4,87102059.78,9.85549641e-05
5.8e-08,-1.244196703e+12,-6.25316601e+11,-5359.446095,1.17882328e+13,-19376594.82,88068919.09,0.0001888683115
