z,Ex,Ez,By,ne,vx,vz,Pe
0,-1.535343696e+11,-9.232935984e+11,-2282.028291,0.06276036002,0,20857992.38,1.005531824e-18
2e-09,-1.307000441e+11,-9.232935984e+11,-4048.737092,0.06276036002,-1426554.883,20857992.38,1.005531824e-18
4e-09,-1.294405337e+11,-1.065585113e+12,-4024.271308,0.05356795648,-3904743.3,32394196.04,8.582532821e-19
6e-09,-1.093851334e+11,-1.099275265e+12,-3978.762057,0.04993769392,-6763270.23,41507447.46,8.000900636e-19
8e-09,-9.262311156e+10,-1.118853271e+12,-3946.856041,0.04741570403,-9807751.935,49229058.57,7.596833308e-19
1e-08,-8.222249106e+10,-1.449020411e+12,-3923.674425,0.04599436455,-12904465.42,57736363.59,7.369109618e-19
1.2e-08,-7.626011235e+10,-1.180260229e+12,-3876.568134,0.04624528002,-16062468.15,63874206.12,7.409310709e-19
1.4e-08,-6.685497526e+10,-9.434739627e+11,-3822.772609,0.04731118454,-19281070.11,68345549.93,7.580087439e-19
1.6e-08,-4.214981321e+10,-8.458822162e+11,-3787.643731,0.04843484388,-22559972.41,72081395.58,7.760117513e-19
1.8e-08,-4.25166207e+10,-9.706130615e+11,-3744.253426,0.04907096004,-25866939.61,76183446.89,7.862034558e-19
2e-08,-3.152575981e+10,-1.234451247e+12,-3673.185542,0.04807262457,-29153929.56,81170007.46,7.702083581e-19
2.2e-08,-2050336246,-2.464283386e+12,-3610.593219,0.04711754256,-32306824.72,90403424.84,7.549062573e-19
2.4e-08,983956633.7,-1.49751997e+12,-3564.946327,0.04770808426,-35418084.33,95555507.56,7.643677786e-19
2.6e-08,1.101988574e+10,-1.05754239e+12,-3503.792508,0.04907137012,-38520867.19,98957645.65,7.86210026e-19
2.8e-08,2.717497028e+10,-6.712710494e+11,-3436.831186,0.05072429606,-41626992.68,100947978.6,8.126928192e-19
3e-08,4.396889331e+10,-7.51051711e+11,-3378.386226,0.05236032923,-44730322.86,103172741.7,8.389049605e-19
3.2e-08,5.526286746e+10,-7.115454249e+11,-3311.751476,0.05400330652,-47827709.9,105230897.8,8.652283586e-19
3.4e-08,5.780470164e+10,-7.624787147e+11,-3240.237248,0.05574560855,-50905560.26,107426951.1,8.931431147e-19
3.6e-08,8.666152813e+10,-6.094763572e+11,-3171.91447,0.05746744083,-53978425.28,109112878.3,9.207299091e-19
3.8e-08,9.745954764e+10,-8.066644136e+11,-3107.525175,0.0590179002,-57022947.56,111402983.3,9.455710069e-19
4e-08,9.403944696e+10,-8.274966021e+11,-3046.040103,0.06057574615,-60037642.38,113730305.2,9.705304506e-19
4.2e-08,1.170285343e+11,-8.100107901e+11,-2981.450337,0.06240841096,-63029565.36,115980280.8,9.99892978e-19
4.4e-08,1.240611784e+11,-5.017031916e+11,-2916.927384,0.06434913846,-66002021.82,117306212.6,1.030986861e-18
4.6e-08,1.271324517e+11,-7.002101375e+11,-2848.059552,0.06626002063,-68945408.34,119224238.7,1.061602568e-18
4.8e-08,1.401042967e+11,-5.572545555e+11,-2780.52419,0.06829235414,-71863862.24,120732459.3,1.094164141e-18
5e-08,1.532197406e+11,-5.743469403e+11,-2714.917396,0.0703146046,-74757279.89,122301455.5,1.126564165e-18
5.2e-08,1.67957267e+11,-5.942519391e+11,-2633.662566,0.07232555555,-77619643.37,123937629.3,1.158783151e-18
5.4e-08,1.718132494e+11,-6.120268103e+11,-2553.361769,0.07433369995,-80438744.02,125634249.2,1.190957172e-18
5.6e-08,1.919528532e+11,-6.215940174e+11,-2468.102883,0.07635155348,-83225537.78,127366904.9,1.22328675e-18
5.8e-08,2.113396604e+11,-6.253176946e+11,-2362.285498,0.07838752118,-85965744.72,129114043.4,1.255906548e-18
6e-08,2.143622824e+11,-6.248601719e+11,-2270.849194,0.08310973965,-88649984.89,130870570.8,1.331564829e-18
6.2e-08,2.354445605e+11,-6.211527076e+11,-2184.85832,0.08460515126,-91420010.66,111202871,1.355523965e-18
6.4e-08,2.515276132e+11,-6.146783039e+11,-2077.089729,20.43863501,-93986517.86,125527657.5,3.274630344e-16
6.6e-08,2.622009642e+11,-6.057806631e+11,-1970.597347,74.04981531,-103076208.5,-30372165.9,1.186408838e-15
6.8e-08,2.762244903e+11,-5.948040848e+11,-1884.8393,2270.781002,-104037136.2,16774891.91,3.638192263e-14
7e-08,2.842313246e+11,-5.820808617e+11,-1798.554022,19803.18518,-115854983.2,-21845205.29,3.172820057e-13
7.2e-08,3.038044348e+11,-5.6790462e+11,-1684.646247,438684.0188,-116575834.3,4180802.553,7.028492847e-12
7.4e-08,3.156899259e+11,-5.525049169e+11,-1591.205347,4135609.824,-128372691.2,-19932574.75,6.625977427e-11
7.6e-08,3.220451274e+11,-5.360712637e+11,-1525.015442,75974654.83,-128984613.5,-325089.1885,1.217248167e-09
7.8e-08,3.345973641e+11,-5.186957563e+11,-1420.000103,711766686.7,-140513895.7,-19340430.71,1.140375954e-08
8e-08,3.425907054e+11,-5.005498412e+11,-1307.899762,1.070503144e+10,-141542660.2,-4458795.24,1.715135124e-07
8.2e-08,3.587768551e+11,-4.812826037e+11,-1213.366397,9.52786198e+10,-152208153.3,-19183149.17,1.526531784e-06
8.4e-08,3.634741749e+11,-4.620411767e+11,-1109.127474,1.126494264e+12,-154159893.1,-9093127.872,1.804842789e-05
8.6e-08,3.670487524e+11,-4.384145748e+11,-998.4453918,9.180197533e+12,-163418666.2,-19390204.33,0.0001470829798
8.8e-08,3.869303071e+11,-4.212071945e+11,-884.7498575,8.632971952e+13,-166282835,-13237278.59,0.001383154594
9e-08,3.863770738e+11,-3.761419048e+11,-792.5332876,6.232148412e+14,-174085414.5,-20083337.95,0.009985002566
9.2e-08,3.826077299e+11,-3.868447615e+11,-707.2213552,4.729939258e+15,-177844830.4,-16711296.96,0.07578198159
9.4e-08,3.9543672e+11,-3.418825644e+11,-601.5928493,2.743245925e+16,-184910564.2,-22837686.2,0.4395164522
9.6e-08,4.02068594e+11,-2.805610936e+11,-501.7624729,1.386536555e+17,-188838272.2,-25052180.07,2.221476471
9.8e-08,4.021616914e+11,-2.160531118e+11,-407.3931072,5.676573151e+17,-191975661.6,-29527519.67,9.094872863
1e-07,4.055365555e+11,2.375257854e+11,-322.4675411,2.348566605e+18,-192529479.2,-28256941.28,37.62818538
1.02e-07,4.218821382e+11,-3.703227667e+12,-232.7871422,1.12329524e+19,-192748238,-20366248.55,179.9717387
1.04e-07,4.390158011e+11,-2.382967364e+12,-128.9687879,8.772974575e+20,-192812735.3,17576445.66,14055.85488
1.06e-07,4.458591867e+11,-1.026893581e+12,-66.25402231,5.391647114e+21,-196794162.9,-16038199.33,86383.71025
1.08e-07,4.608443141e+11,-1.270987498e+12,-10.42589223,1.544594779e+23,-196817419.8,9338982.661,2474713.663
1.1e-07,4.8292792e+11,-6.574806229e+11,79.81662415,1.299556629e+24,-198252766.6,-11130029.99,20821192.65
1.12e-07,5.072055589e+11,-3.493077352e+11,157.2904021,7.031976283e+24,-196181956.5,-17179659.03,112664680.9
1.14e-07,5.302495087e+11,-4.147432777e+11,214.0241544,3.957602644e+25,-193153711.3,-16327920.5,634077848.3
1.16e-07,5.414856055e+11,-3.462714493e+11,261.6215129,2.066477288e+26,-187725004.7,-17812256.17,3310861625
1.18e-07,5.645840926e+11,-4.156823783e+11,304.1824082,7.320026767e+26,-177210170.3,-25372223.65,1.172797585e+10
1.2e-07,5.984607677e+11,-3.802815006e+11,323.9571602,1.001061637e+27,-158968924.2,-57009296.28,1.603877564e+10
1.22e-07,6.166692627e+11,-4.679648278e+11,322.3068961,7.126493343e+26,-149137818,-84892022.69,1.141790112e+10
1.24e-07,6.3463992e+11,-4.393638443e+11,346.8430232,3.777142247e+26,-148516854.7,-93569269.9,6051649052
1.26e-07,6.612625529e+11,-4.759267115e+11,391.1743795,2.408672155e+26,-149492449.2,-95779726.05,3859118246
1.28e-07,6.839759138e+11,-4.315069423e+11,450.1056416,2.019440841e+26,-150358923.3,-96775510.94,3235500929
1.3e-07,7.026061947e+11,-4.533306534e+11,511.1003949,1.872918342e+26,-150980680.2,-97162593.24,3000746005
1.32e-07,7.169708948e+11,-4.139819229e+11,540.7111675,1.790046394e+26,-151421194.1,-97489452.77,2867970506
1.34e-07,7.3396453e+11,-4.311700744e+11,586.0672359,1.728347484e+26,-151739163.6,-97651192.98,2769117954
