z,Ex,Ez,By,ne,vx,vz,Pe
0,2.332529711e+11,1.38476696e+11,1159.912573,4.784823981e+26,0,-12224521.85,7666133180
2e-09,2.240419904e+11,1.38476696e+11,1535.084027,4.784823981e+26,110835106.2,-12224521.85,7666133180
4e-09,2.147619338e+11,-7.326187481e+10,1529.231505,8.503246909e+26,108528807.9,-4468597.961,1.362370351e+10
6e-09,2.055203933e+11,-2.320167569e+10,1531.218988,1.038343823e+27,88763588.79,-7888469.886,1.663610212e+10
8e-09,1.96379551e+11,9.645159535e+10,1523.728357,5.308725063e+26,85561985.09,-10468206.93,8505515252
1e-08,1.872323119e+11,8.451964318e+10,1503.888083,3.734283597e+26,83159769.62,-12341779.7,5982981923
1.2e-08,1.780802587e+11,7.652924734e+10,1480.052448,3.163736468e+26,81541016.79,-11770661.58,5068864645
1.4e-08,1.689116534e+11,5.581159964e+10,1455.347777,3.380996499e+26,79689324.06,-10694719.96,5416953591
1.6e-08,1.597390809e+11,7.769668268e+10,1430.724997,3.399804403e+26,77628262.6,-9886988.146,5447087175
1.8e-08,1.505653573e+11,8.464464535e+10,1405.654526,3.28678492e+26,75725017.64,-8713902.035,5266010000
2e-08,1.413912183e+11,8.729697443e+10,1380.116726,3.286760336e+26,73689825.81,-7550035.177,5265970612
2.2e-08,1.322166358e+11,8.728906778e+10,1354.215678,3.238561945e+26,71685810.49,-6107904.613,5188748276
2.4e-08,1.230442979e+11,8.509588887e+10,1328.014939,3.281838223e+26,69592877.18,-4652696.647,5258084518
2.6e-08,1.138717007e+11,8.249241738e+10,1301.685932,3.363881935e+26,67385162.99,-3137878.245,5389533036
2.8e-08,1.047029973e+11,7.993401599e+10,1275.316393,3.492083392e+26,65013527.88,-1625556.232,5594934414
3e-08,9.55362377e+10,7.735083958e+10,1248.968155,3.654600889e+26,62440930.19,-119663.9681,5855316151
3.2e-08,8.637563176e+10,7.418468388e+10,1222.655649,3.840320002e+26,59643881.73,1390946.094,6152870975
3.4e-08,7.721889462e+10,6.984970017e+10,1196.362683,4.049563338e+26,56612031.88,2922926.763,6488115758
3.6e-08,6.807051909e+10,6.396552018e+10,1170.061019,4.283071631e+26,53343519.33,4485713.91,6862237289
3.8e-08,5.892849093e+10,5.66368189e+10,1143.708267,4.542143721e+26,49852537.05,6068850.603,7277316538
4e-08,4.979577703e+10,4.860145996e+10,1117.253509,4.828365484e+26,46171509.25,7636395.337,7735894359
4.2e-08,4.066997011e+10,4.091718608e+10,1090.634652,5.139726055e+26,42353669.69,9135019.141,8234748991
4.4e-08,3.155131061e+10,3.424075499e+10,1063.776185,5.465015946e+26,38477662.59,10518262.46,8755920853
4.6e-08,2.243703082e+10,2.802753227e+10,1036.579805,5.773259301e+26,34650992.51,11775905.1,9249781155
4.8e-08,1.332507909e+10,1.921934166e+10,1008.93175,6.026238108e+26,31011467.77,12980447.65,9655097888
5e-08,4214080295,7368103397,980.7383762,6.209148833e+26,27688401.02,14209198.8,9948153178
5.2e-08,-4899281219,-5862864805,951.9619892,6.334835141e+26,24761385.61,15500282.38,1.014952484e+10
5.4e-08,-1.401308208e+10,-1.941061129e+10,922.627423,6.428615916e+26,22250691.78,16864668.89,1.029977821e+10
5.6e-08,-2.313089293e+10,-3.292763398e+10,892.7983608,6.513482785e+26,20132446.68,18291862.96,1.043574992e+10
5.8e-08,-3.224745967e+10,-4.6425075e+10,862.5567561,6.600819678e+26,18361678.95,19750403.83,1.057567905e+10
6e-08,-4.136728566e+10,-6.000273376e+10,831.9761664,6.686349756e+26,16890939.28,21188078.37,1.071271335e+10
6.2e-08,-5.048389957e+10,-7.369492465e+10,801.1180272,6.749480602e+26,15680655.75,22533755.53,1.081386011e+10
6.4e-08,-5.960346116e+10,-8.739182753e+10,770.0166247,6.756010663e+26,14702261.65,23702877.88,1.082432242e+10
6.6e-08,-6.872030708e+10,-1.008108125e+11,738.6899826,6.666408114e+26,13936185.28,24609417.38,1.068076331e+10
6.8e-08,-7.784102558e+10,-1.135284773e+11,707.1329917,6.451082927e+26,13366593.78,25185524.93,1.033577433e+10
7e-08,-8.696201102e+10,-1.250811414e+11,675.3383955,6.108290154e+26,12975062.7,25404366.96,9786559759
7.2e-08,-9.60871233e+10,-1.351058102e+11,643.2993122,5.673714687e+26,12736271.9,25294301.58,9090293100
7.4e-08,-1.052143671e+11,-1.434469961e+11,611.0276678,5.205770873e+26,12618273.12,24932051.22,8340564454
7.6e-08,-1.143420193e+11,-1.501663127e+11,578.5506228,4.762327487e+26,12587198,24415786.54,7630089823
7.8e-08,-1.234703241e+11,-1.554731305e+11,545.91008,4.381365899e+26,12612998.05,23833764.88,7019722069
8e-08,-1.325916139e+11,-1.596296248e+11,513.1539565,4.074969678e+26,12672874.94,23245008.21,6528821202
8.2e-08,-1.4171032e+11,-1.628796686e+11,480.3241037,3.836650032e+26,12751448.47,22677692.18,6146991035
8.4e-08,-1.508148361e+11,-1.654187223e+11,447.4597369,3.652318016e+26,12839080.47,22138799.62,5851658585
8.6e-08,-1.599136813e+11,-1.673925884e+11,414.5854274,3.507850309e+26,12929854.58,21625320.91,5620195801
8.8e-08,-1.68993105e+11,-1.689071285e+11,381.7267471,3.392072687e+26,13020067.03,21131628.3,5434699600
9e-08,-1.780636694e+11,-1.700403183e+11,348.8950025,3.296969627e+26,13107280.21,20652711.22,5282327699
9.2e-08,-1.871120239e+11,-1.708511771e+11,316.107224,3.216948089e+26,13189798.2,20184990.51,5154119062
9.4e-08,-1.961472494e+11,-1.713857099e+11,283.3692132,3.148076956e+26,13266388.39,19726220.94,5043775340
9.6e-08,-2.051595017e+11,-1.716806858e+11,250.6923624,3.087553618e+26,13336110.87,19275212.81,4946806264
9.8e-08,-2.141531146e+11,-1.71766068e+11,218.0818189,3.03337382e+26,13398241.96,18831587.02,4860000656
1e-07,-2.231242951e+11,-1.716666699e+11,185.5436771,2.984126256e+26,13452196.19,18395579.75,4781097361
1.02e-07,-2.320709587e+11,-1.714034444e+11,153.0851024,2.938851238e+26,13497508.98,17967875.71,4708558784
1.04e-07,-2.40995678e+11,-1.709946054e+11,120.7074793,2.896930267e+26,13533792.03,17549455.08,4641393984
1.06e-07,-2.498910168e+11,-1.704562984e+11,88.42062831,2.857994199e+26,13560730.22,17141447.96,4579011526
1.08e-07,-2.587632298e+11,-1.698029745e+11,56.22321018,2.82184619e+26,13578060.65,16745002.91,4521096030
1.1e-07,-2.676034159e+11,-1.690478498e+11,24.12622648,2.788397861e+26,13585563.62,16361184.96,4467505899
1.12e-07,-2.764165784e+11,-1.682031987e+11,-7.871179023,2.757619024e+26,13583063.86,15990903.88,4418192765
1.14e-07,-2.851977194e+11,-1.672804784e+11,-39.76033399,2.729501591e+26,13570408.46,15634871.11,4373143672
1.16e-07,-2.939459747e+11,-1.662903772e+11,-71.53880295,2.704035819e+26,13547485.02,15293582.42,4332343007
1.18e-07,-3.026636784e+11,-1.652430634e+11,-103.2022237,2.681197105e+26,13514191.2,14967326.87,4295751352
1.2e-07,-3.113421954e+11,-1.64148052e+11,-134.7435302,2.660941829e+26,13470458.97,14656207.48,4263298822
1.22e-07,-3.199911214e+11,-1.630143208e+11,-166.1627039,2.643207243e+26,13416226.73,14360171.4,4234884884
1.24e-07,-3.28595978e+11,-1.618505735e+11,-197.448898,2.627914895e+26,13351456.71,14079047.97,4210383841
1.26e-07,-3.371698302e+11,-1.606650507e+11,-228.6045454,2.614977206e+26,13276121.11,13812577.59,4189655378
1.28e-07,-3.456978495e+11,-1.594656813e+11,-259.6186184,2.604304022e+26,13190202.82,13560440.44,4172555051
1.3e-07,-3.541903332e+11,-1.582601833e+11,-290.4919882,2.595809138e+26,13093700.93,13322279.1,4158944747
1.32e-07,-3.626382368e+11,-1.570560873e+11,-321.2177269,2.589416867e+26,12986614.51,13097711.54,4148703200
1.34e-07,-3.710441008e+11,-1.558606752e+11,-351.7912371,2.585068856e+26,12868961.66,12886336.48,4141736919
1.36e-07,-3.794072682e+11,-1.546808731e+11,-382.2118699,2.582728595e+26,12740757.5,12687728.92,4137987407
1.38e-07,-3.87723018e+11,-1.53523315e+11,-412.469732,2.582383561e+26,12602031.36,12501434.33,4137434602
1.4e-07,-3.959955556e+11,-1.523940327e+11,-442.5680183,2.584045088e+26,12452815.2,12326952.23,4140096661
1.42e-07,-4.042188155e+11,-1.512983936e+11,-472.495573,2.587742899e+26,12293144.69,12163722.5,4146021208
1.44e-07,-4.123945219e+11,-1.502411177e+11,-502.2542237,2.593515071e+26,12123067.26,12011114.7,4155269246
