z,Ex,Ez,By,ne,vx,vz,Pe
0,-6.538525462e+10,4.867724897e+10,-469.5859382,2.666442235e+26,0,1176297.462,4272111445
2e-09,-7.03479269e+10,4.867724897e+10,-734.4105194,2.666442235e+26,93120692.44,1176297.462,4272111445
4e-09,-7.539480362e+10,-1.105681975e+11,-761.5226256,2.552447623e+26,96408682.25,8661344.618,4089471942
6e-09,-8.055995065e+10,-1.334288898e+11,-788.9125495,2.2330187e+26,96673260.17,13397649.14,3577690384
8e-09,-8.568166368e+10,-7.97778052e+11,-816.4973605,1.981977489e+26,96408602.79,24669290.86,3175478022
1e-08,-9.067138991e+10,-6.558557648e+11,-842.7562901,2.536822619e+26,95994649.76,30759680.37,4064437924
1.2e-08,-9.531821025e+10,-2.862837022e+11,-863.2468468,4.967925799e+26,95080887.22,32222841.17,7959494634
1.4e-08,-9.963249844e+10,6.635389686e+10,-868.3356905,1.121433207e+27,92357772.61,31136347.43,1.796734081e+10
1.6e-08,-1.032341234e+11,-2.067704364e+10,-845.2732225,2.208954874e+27,85757552.05,32595949.91,3.539135884e+10
1.8e-08,-1.058912684e+11,-1.37777338e+11,-790.3720244,3.528055561e+27,73862459.6,35590428.17,5.652568184e+10
2e-08,-1.075842035e+11,-3.161449931e+11,-719.54493,4.609673181e+27,57159658.63,38921003.5,7.385510662e+10
2.2e-08,-1.093224172e+11,-4.909415835e+11,-662.4004623,4.908002265e+27,38330584.64,41016982.11,7.863486549e+10
2.4e-08,-1.122133897e+11,-6.355449498e+11,-640.2477655,4.181236094e+27,21538232.16,40892501.26,6.699078772e+10
2.6e-08,-1.164735512e+11,-7.292567919e+11,-651.2742722,2.842199104e+27,10052067.65,38589952.93,4.553704994e+10
2.8e-08,-1.215002027e+11,-7.766758543e+11,-680.3771634,1.605043282e+27,4073139.599,35075094.59,2.571562843e+10
3e-08,-1.268866809e+11,-7.977220421e+11,-715.7181942,8.671947156e+26,1521349.311,31483065.25,1.38939911e+10
