z,Ex,Ez,By,ne,vx,vz,Pe
0,8.323273746e+11,-2.55433006e+10,3208.262828,1.14954234e+26,0,9594281.114,1841769876
2e-09,8.349453447e+11,-2.55433006e+10,3644.415434,1.14954234e+26,-29572972.33,9594281.114,1841769876
4e-09,8.374297134e+11,7047614699,3652.246772,1.215910907e+26,-50418957.18,12162321.7,1948104044
6e-09,8.397770597e+11,4.181099313e+10,3657.576082,2.170827732e+26,-64093664.54,13604724.48,3478049468
8e-09,8.419864616e+11,2.636520164e+10,3660.202701,3.024563744e+26,-58350917.71,7947615.592,4845885358
1e-08,8.441104111e+11,-3.505526979e+10,3661.029531,4.949160021e+26,-42365764.99,5629693.552,7929428544
1.2e-08,8.462285438e+11,-3.267972698e+10,3664.396162,4.159162398e+26,-7507258.6,-15279599.13,6663712811
1.4e-08,8.482715448e+11,-1.188364256e+10,3671.301387,2.05762443e+26,-6915155.042,-17104362.23,3296677783
1.6e-08,8.502104604e+11,-69563911.96,3678.116932,1.658433546e+26,-9533154.87,-17552863.65,2657103477
1.8e-08,8.520410205e+11,9423319439,3684.411582,1.536156615e+26,-13169377.76,-16562827.52,2461194235
2e-08,8.537602214e+11,1.575128146e+10,3690.097345,1.516085633e+26,-17279151.23,-14947554.49,2429036976
2.2e-08,8.553677634e+11,1.983095152e+10,3695.116384,1.547333512e+26,-21641724.45,-13017398.02,2479101597
2.4e-08,8.568619005e+11,2.265165412e+10,3699.414919,1.613292178e+26,-26124386.84,-10938216.35,2584779031
2.6e-08,8.582432599e+11,2.515605151e+10,3702.936547,1.706408165e+26,-30617348.94,-8817646.302,2733967289
2.8e-08,8.59510134e+11,2.775491532e+10,3705.62407,1.821798001e+26,-35009140.53,-6732435.328,2918842189
3e-08,8.6066371e+11,3.043058231e+10,3707.423847,1.954322833e+26,-39179584.03,-4744237.394,3131170378
3.2e-08,8.61702134e+11,3.297265149e+10,3708.295601,2.0959965e+26,-43003957.19,-2909996.002,3358156618
3.4e-08,8.62627308e+11,3.513114148e+10,3708.226056,2.234504395e+26,-46371733.96,-1286296.571,3580070731
3.6e-08,8.634379768e+11,3.675731519e+10,3707.239465,2.357171697e+26,-49220425.7,78899.58137,3776605415
3.8e-08,8.64137399e+11,3.794507754e+10,3705.389539,2.460684477e+26,-51559008.23,1168177.855,3942451173
4e-08,8.647249487e+11,3.927209971e+10,3702.728892,2.556873799e+26,-53464506.72,2040135.742,4096563458
4.2e-08,8.652039749e+11,4.196180886e+10,3699.296049,2.646536895e+26,-55039280.57,2779947.22,4240219575
4.4e-08,8.655731675e+11,4.546007843e+10,3695.15548,2.705021906e+26,-56316850.56,3491415.427,4333922893
4.6e-08,8.658352573e+11,4.831283603e+10,3690.392855,2.741406955e+26,-57295008.91,4256372.607,4392218167
4.8e-08,8.659875725e+11,5.030317528e+10,3685.067678,2.772021412e+26,-58017191.62,5083464.651,4441267935
5e-08,8.660326814e+11,5.153438563e+10,3679.208813,2.804923939e+26,-58522860.65,5969502.276,4493983596
5.2e-08,8.659673553e+11,5.219947435e+10,3672.828775,2.84356381e+26,-58841497.03,6903267.872,4555891494
5.4e-08,8.657946616e+11,5.251868345e+10,3665.932294,2.88915455e+26,-58997259.51,7868593.648,4628935912
